Vail Resorts PE Ratio Historical Data,Vail Resorts PE Ratio Historical Data,Vail Resorts PE Ratio Historical Data,Vail Resorts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,171.24,,28.4
2024-07-31,179.67,$6.03,29.8
2024-04-30,184.62,$7.35,25.12
2024-01-31,214.27,$5.99,35.77
2023-10-31,202.97,$5.39,37.66
2023-07-31,223.04,$6.59,33.85
2023-04-30,225.91,$7.24,31.2
2023-01-31,244.12,$8.22,29.7
2022-10-31,202.3,$8.53,23.72
2022-07-31,217.08,$8.49,25.57
2022-04-30,230.77,$7.70,29.97
2022-01-31,249.82,$5.26,47.49
2021-10-31,309.95,$3.41,90.89
2021-07-31,273.72,$3.03,90.34
2021-04-30,291.63,$2.70,108.01
2021-01-31,238.53,$-0.28,0.0
2020-10-31,208.11,$1.14,182.55
2020-07-31,172.23,$2.32,74.24
2020-04-30,153.36,$3.92,39.12
2020-01-31,207.92,$7.30,28.48
2019-10-31,204.55,$7.28,28.1
2019-07-31,215.32,$7.26,29.66
2019-04-30,198.33,$7.41,26.76
2019-01-31,161.81,$6.46,25.05
2018-10-31,214.51,$7.11,30.17
2018-07-31,234.93,$9.06,25.93
2018-04-30,193.55,$9.70,19.95
2018-01-31,183.29,$7.93,23.11
2017-10-31,191.12,$5.89,32.45
2017-07-31,175.04,$4.90,35.72
2017-04-30,163.34,$4.53,36.06
2017-01-31,140.96,$4.36,32.33
2016-10-31,131.02,$3.87,33.86
2016-07-31,116.96,$3.94,29.69
2016-04-30,105.35,$3.82,27.58
2016-01-31,100.94,$3.15,32.04
2015-10-31,91.75,$3.11,29.5
2015-07-31,87.62,$2.97,29.5
2015-04-30,78.8,$2.81,28.04
2015-01-31,69.28,$2.43,28.51
2014-10-31,67.86,$0.93,72.97
2014-07-31,59.04,$0.66,89.46
2014-04-30,53.84,$1.07,50.32
2014-01-31,52.69,$0.55,95.8
2013-10-31,54.32,$0.60,90.53
2013-07-31,51.48,$0.94,54.76
2013-04-30,46.19,$1.11,41.61
2013-01-31,40.34,$0.62,65.07
2012-10-31,43.19,$0.24,179.96
2012-07-31,37.51,$0.40,93.78
2012-04-30,30.69,$0.41,74.86
2012-01-31,32.68,$0.32,102.13
2011-10-31,33.28,$0.53,62.8
2011-07-31,34.04,$0.87,39.13
2011-04-30,36.33,$1.20,30.28
2011-01-31,35.64,$1.10,32.4
2010-10-31,30.08,$0.73,41.21
2010-07-31,28.09,$0.79,35.56
2010-04-30,33.85,$0.88,38.46
2010-01-31,24.99,$0.58,43.09
2009-10-31,25.54,$1.12,22.81
