Docusign PE Ratio Historical Data,Docusign PE Ratio Historical Data,Docusign PE Ratio Historical Data,Docusign PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,72.5,,15.3
2024-07-31,55.48,$4.74,11.7
2024-04-30,56.6,$0.52,108.85
2024-01-31,60.92,$0.36,169.22
2023-10-31,38.88,$0.25,155.52
2023-07-31,53.82,$-0.09,0.0
2023-04-30,49.44,$-0.35,0.0
2023-01-31,60.64,$-0.49,0.0
2022-10-31,48.3,$-0.66,0.0
2022-07-31,63.98,$-0.54,0.0
2022-04-30,81.0,$-0.45,0.0
2022-01-31,125.77,$-0.35,0.0
2021-10-31,278.29,$-0.58,0.0
2021-07-31,298.04,$-0.86,0.0
2021-04-30,222.94,$-1.08,0.0
2021-01-31,232.89,$-1.30,0.0
2020-10-31,202.25,$-1.18,0.0
2020-07-31,216.83,$-1.13,0.0
2020-04-30,104.75,$-1.17,0.0
2020-01-31,78.51,$-1.18,0.0
2019-10-31,66.19,$-1.32,0.0
2019-07-31,51.72,$-1.37,0.0
2019-04-30,56.67,$-1.20,0.0
2019-01-31,49.45,$-8.39,0.0
