LendingClub PE Ratio Historical Data,LendingClub PE Ratio Historical Data,LendingClub PE Ratio Historical Data,LendingClub PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.92,,34.0
2024-06-30,8.46,$0.38,22.26
2024-03-31,8.79,$0.34,25.85
2023-12-31,8.74,$0.36,24.28
2023-09-30,6.1,$0.49,12.45
2023-06-30,9.75,$0.85,11.47
2023-03-31,7.21,$2.49,2.9
2022-12-31,8.8,$2.75,3.2
2022-09-30,11.05,$2.80,3.95
2022-06-30,11.69,$2.65,4.41
2022-03-31,15.78,$1.01,15.62
2021-12-31,24.18,$0.13,186.0
2021-09-30,28.24,$-0.43,0.0
2021-06-30,18.13,$-1.07,0.0
2021-03-31,16.52,$-2.03,0.0
2020-12-31,10.56,$-2.64,0.0
2020-09-30,4.71,$-2.35,0.0
2020-06-30,4.55,$-1.97,0.0
2020-03-31,7.85,$-1.22,0.0
2019-12-31,12.62,$-0.37,0.0
2019-09-30,13.08,$-0.52,0.0
2019-06-30,16.4,$-0.77,0.0
2019-03-31,15.45,$-1.35,0.0
2018-12-31,13.15,$-1.45,0.0
2018-09-30,19.4,$-2.40,0.0
2018-06-30,18.95,$-2.25,0.0
2018-03-31,17.5,$-1.85,0.0
2017-12-31,20.65,$-1.85,0.0
2017-09-30,30.45,$-1.15,0.0
2017-06-30,27.55,$-1.50,0.0
2017-03-31,27.45,$-2.25,0.0
2016-12-31,26.25,$-1.85,0.0
2016-09-30,30.9,$-1.40,0.0
2016-06-30,21.5,$-0.95,0.0
2016-03-31,41.5,$0.05,830.0
2015-12-31,55.25,$-0.10,0.0
2015-09-30,66.15,$-0.50,0.0
