Norfolk Southern PE Ratio Historical Data,Norfolk Southern PE Ratio Historical Data,Norfolk Southern PE Ratio Historical Data,Norfolk Southern PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,256.16,,27.75
2024-06-30,213.51,$9.23,23.13
2023-12-31,232.5,$8.02,28.99
2023-09-30,192.34,$9.12,21.09
2023-06-30,220.17,$7.25,30.37
2023-03-31,204.48,$9.79,20.89
2022-12-31,236.43,$11.20,21.11
2024-03-31,252.01,$10.71,23.53
2022-09-30,200.06,$13.60,14.71
2022-06-30,215.83,$12.56,17.18
2022-03-31,269.53,$12.39,21.75
2021-12-31,280.08,$12.12,23.11
2021-09-30,224.22,$11.64,19.26
2021-06-30,247.68,$10.80,22.93
2021-03-31,249.72,$9.05,27.59
2020-12-31,220.09,$7.86,28.0
2020-09-30,197.39,$7.77,25.4
2020-06-30,161.18,$8.04,20.05
2020-03-31,133.29,$9.21,14.47
2019-12-31,176.45,$10.25,17.21
2019-09-30,162.46,$10.27,15.82
2019-06-30,179.32,$10.30,17.41
2019-03-31,167.42,$10.10,16.58
2018-12-31,133.28,$9.52,14.0
2018-09-30,160.11,$20.74,7.72
2018-06-30,133.21,$19.97,6.67
2018-03-31,119.28,$19.18,6.22
2017-12-31,126.67,$18.73,6.76
2017-09-30,115.08,$6.36,18.09
2017-06-30,105.34,$6.16,17.1
2017-03-31,96.41,$5.81,16.59
2016-12-31,92.58,$5.62,16.47
2016-09-30,82.62,$5.40,15.3
2016-06-30,71.98,$5.34,13.48
2016-03-31,69.93,$5.39,12.97
2015-12-31,70.44,$5.10,13.81
2015-09-30,63.15,$5.54,11.4
2015-06-30,71.7,$5.84,12.28
2015-03-31,83.98,$6.22,13.5
2014-12-31,88.94,$6.39,13.92
2014-09-30,90.09,$6.39,14.1
2014-06-30,82.72,$6.13,13.49
2014-03-31,77.57,$5.80,13.37
2013-12-31,73.67,$6.04,12.2
2013-09-30,61.02,$5.70,10.7
2013-06-30,56.91,$5.41,10.52
2013-03-31,59.98,$5.55,10.81
2012-12-31,47.77,$5.37,8.9
2012-09-30,48.76,$5.49,8.88
2012-06-30,54.62,$5.84,9.35
2012-03-31,49.79,$5.80,8.58
2011-12-31,54.75,$5.47,10.01
2011-09-30,45.58,$5.14,8.87
2011-06-30,55.64,$4.74,11.74
2011-03-31,51.15,$4.22,12.12
2010-12-31,46.09,$4.00,11.52
2010-09-30,43.41,$3.73,11.64
2010-06-30,38.46,$3.35,11.48
2010-03-31,40.28,$2.97,13.56
2009-12-31,37.52,$2.76,13.59
