GameStop PE Ratio Historical Data,GameStop PE Ratio Historical Data,GameStop PE Ratio Historical Data,GameStop PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.41,,164.69
2024-07-31,22.67,$0.13,174.38
2024-04-30,11.09,$0.08,138.63
2024-01-31,14.23,$0.02,711.5
2023-10-31,13.77,$-0.03,0.0
2023-07-31,22.2,$-0.33,0.0
2023-04-30,19.29,$-0.68,0.0
2023-01-31,21.87,$-1.00,0.0
2022-10-31,28.31,$-1.50,0.0
2022-07-31,34.01,$-1.41,0.0
2022-01-31,27.23,$-1.30,0.0
2021-10-31,45.88,$-0.52,0.0
2021-07-31,40.28,$-0.24,0.0
2021-04-30,43.4,$-0.46,0.0
2021-01-31,81.25,$-0.85,0.0
2020-10-31,2.62,$-1.06,0.0
2020-07-31,1.0,$-1.25,0.0
2020-04-30,1.43,$-1.86,0.0
2020-01-31,0.96,$-1.20,0.0
2019-10-31,1.36,$-1.74,0.0
2019-07-31,1.01,$-2.68,0.0
2019-04-30,2.16,$-1.70,0.0
2019-01-31,2.74,$-1.65,0.0
2018-10-31,3.43,$-1.45,0.0
2018-07-31,3.31,$-0.10,0.0
2018-04-30,3.05,$0.01,244.25
2018-01-31,3.67,$0.09,41.97
2017-10-31,4.0,$0.86,4.67
2017-07-31,4.55,$0.83,5.47
2017-04-30,4.68,$0.85,5.54
2017-01-31,4.98,$0.18,27.66
2016-10-31,4.82,$0.26,18.53
2016-07-31,6.12,$0.27,22.66
2022-04-30,31.27,$0.26,119.11
2016-01-31,5.06,$0.95,5.31
2015-10-31,8.79,$0.92,9.56
2015-07-31,8.68,$0.95,9.18
2015-04-30,7.23,$1.01,7.16
2015-01-31,6.56,$0.90,7.33
2016-04-30,6.4,$0.49,13.2
2014-10-31,7.89,$0.80,9.86
2014-07-31,7.68,$0.82,9.37
2014-04-30,7.2,$0.79,9.14
2014-01-31,6.3,$0.76,8.35
2013-10-31,9.8,$0.82,11.95
2013-07-31,8.72,$-0.60,0.0
2013-04-30,6.15,$-0.58,0.0
2013-01-31,4.04,$-0.56,0.0
2012-10-31,3.94,$-0.78,0.0
2012-07-31,2.73,$0.59,4.63
2012-04-30,3.85,$0.61,6.36
2012-01-31,3.92,$0.61,6.43
2011-10-31,4.29,$0.68,6.29
2011-07-31,3.96,$0.68,5.87
2011-04-30,4.31,$0.69,6.3
2011-01-31,3.54,$0.67,5.32
2010-10-31,3.3,$0.60,5.52
2010-07-31,3.37,$0.59,5.76
2010-04-30,4.08,$0.58,7.07
2010-01-31,3.32,$0.56,5.9
2009-10-31,4.08,$0.59,6.94
