Columbia Sportswear PE Ratio Historical Data,Columbia Sportswear PE Ratio Historical Data,Columbia Sportswear PE Ratio Historical Data,Columbia Sportswear PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,83.57,,26.2
2024-06-30,78.78,$3.19,24.7
2023-12-31,78.67,$4.13,19.05
2023-09-30,73.01,$4.60,15.87
2023-06-30,75.8,$3.61,21.0
2023-03-31,88.21,$5.27,16.74
2022-12-31,85.31,$4.64,18.39
2024-03-31,80.59,$3.65,22.08
2022-09-30,65.32,$5.33,12.25
2022-06-30,69.2,$5.05,13.7
2022-03-31,87.17,$5.55,15.71
2021-12-31,93.51,$5.36,17.45
2021-09-30,91.74,$4.41,20.8
2021-06-30,93.92,$3.83,24.52
2021-03-31,100.61,$2.45,41.07
2020-12-31,83.02,$1.61,51.56
2020-09-30,82.64,$1.84,44.91
2020-06-30,76.56,$2.65,28.89
2020-03-31,66.29,$3.76,17.63
2019-12-31,94.85,$4.83,19.64
2019-09-30,91.48,$4.79,19.1
2019-06-30,94.33,$4.46,21.15
2019-03-31,97.87,$4.26,22.97
2018-12-31,78.81,$3.83,20.58
2018-09-30,87.0,$2.10,41.43
2018-06-30,85.3,$1.93,44.2
2018-03-31,71.09,$1.62,43.88
2017-12-31,66.67,$1.49,44.74
2017-09-30,56.94,$2.79,20.41
2017-06-30,53.52,$2.72,19.68
2017-03-31,53.98,$2.77,19.49
2016-12-31,53.39,$2.71,19.7
2016-09-30,51.81,$2.41,21.5
2016-06-30,52.38,$2.51,20.87
2016-03-31,54.52,$2.54,21.47
2015-12-31,44.12,$2.46,17.93
2015-09-30,53.01,$2.35,22.56
2015-06-30,54.39,$2.00,27.19
2015-03-31,54.64,$2.00,27.32
2014-12-31,39.86,$1.95,20.49
2014-09-30,31.9,$1.68,18.99
2014-06-30,36.71,$1.54,23.91
2014-03-31,36.59,$1.52,24.07
2013-12-31,34.75,$1.35,25.74
2013-09-30,26.48,$1.40,18.91
2013-06-30,27.44,$1.56,17.65
2013-03-31,25.26,$1.55,16.35
2012-12-31,23.19,$1.46,15.94
2012-09-30,23.33,$1.42,16.43
2012-06-30,23.11,$1.47,15.72
2012-03-31,20.36,$1.39,14.7
2011-12-31,19.88,$1.52,13.12
2011-09-30,19.74,$1.36,14.51
2011-06-30,26.85,$1.14,23.66
2011-03-31,25.09,$1.18,21.26
2010-12-31,25.38,$1.13,22.46
2010-09-30,23.84,$1.09,21.97
2010-06-30,18.97,$1.01,18.78
2010-03-31,21.28,$1.02,20.87
2009-12-31,15.75,$0.99,15.99
