Rapid7 PE Ratio Historical Data,Rapid7 PE Ratio Historical Data,Rapid7 PE Ratio Historical Data,Rapid7 PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,40.19,,0.0
2024-06-30,43.23,$-0.84,0.0
2024-03-31,49.04,$-2.05,0.0
2023-12-31,57.1,$-2.51,0.0
2023-09-30,45.78,$-2.97,0.0
2023-06-30,45.28,$-2.21,0.0
2023-03-31,45.91,$-1.79,0.0
2022-12-31,33.98,$-2.14,0.0
2022-09-30,42.9,$-2.74,0.0
2022-06-30,66.8,$-2.92,0.0
2022-03-31,111.24,$-2.86,0.0
2021-12-31,117.69,$-2.64,0.0
2021-09-30,113.02,$-2.41,0.0
2021-06-30,94.63,$-2.24,0.0
2021-03-31,74.61,$-2.04,0.0
2020-12-31,90.16,$-1.94,0.0
2020-09-30,61.24,$-1.67,0.0
2020-06-30,51.02,$-1.46,0.0
2020-03-31,43.33,$-1.32,0.0
2019-12-31,56.02,$-1.10,0.0
2019-09-30,45.39,$-1.08,0.0
2019-06-30,57.84,$-1.04,0.0
2019-03-31,50.61,$-1.07,0.0
2018-12-31,31.16,$-1.19,0.0
2018-09-30,36.92,$-1.22,0.0
2018-06-30,28.22,$-1.21,0.0
2018-03-31,25.57,$-1.17,0.0
2017-12-31,18.66,$-1.06,0.0
2017-09-30,17.6,$-0.99,0.0
2017-06-30,16.83,$-1.00,0.0
2017-03-31,14.98,$-1.06,0.0
2016-12-31,12.17,$-1.19,0.0
2016-09-30,17.65,$-1.49,0.0
2016-06-30,12.58,$-2.03,0.0
