Redwood Trust PE Ratio Historical Data,Redwood Trust PE Ratio Historical Data,Redwood Trust PE Ratio Historical Data,Redwood Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.66,,45.06
2024-06-30,6.35,$0.17,37.35
2024-03-31,6.08,$0.07,86.84
2023-12-31,6.9,$-0.12,0.0
2023-09-30,6.5,$-0.67,0.0
2023-06-30,5.68,$-0.82,0.0
2023-03-31,5.86,$-1.67,0.0
2022-12-31,5.66,$-1.45,0.0
2022-09-30,4.65,$-0.71,0.0
2022-06-30,6.03,$0.38,15.88
2022-03-31,7.98,$1.89,4.22
2021-12-31,9.79,$2.37,4.13
2021-09-30,9.4,$2.45,3.84
2021-06-30,8.66,$2.82,3.07
2021-03-31,7.36,$3.16,2.33
2020-12-31,6.11,$-5.84,0.0
2020-09-30,5.15,$-5.88,0.0
2020-06-30,4.71,$-6.59,0.0
2020-03-31,3.34,$-7.29,0.0
2019-12-31,10.64,$1.48,7.19
2019-09-30,10.37,$1.08,9.6
2019-06-30,10.26,$1.19,8.62
2019-03-31,9.84,$1.27,7.75
2018-12-31,9.01,$1.28,7.04
2018-09-30,9.53,$1.65,5.78
2018-06-30,9.49,$1.64,5.79
2018-03-31,8.76,$1.69,5.18
2017-12-31,8.24,$1.62,5.09
2017-09-30,8.89,$1.58,5.63
2017-06-30,9.14,$1.75,5.22
2017-03-31,8.76,$1.80,4.87
2016-12-31,7.89,$1.52,5.19
2016-09-30,7.21,$1.67,4.32
2016-06-30,6.89,$1.31,5.26
2016-03-31,6.39,$1.14,5.61
2015-12-31,6.31,$1.15,5.48
2015-09-30,6.47,$1.00,6.47
2015-06-30,7.19,$1.28,5.62
2015-03-31,8.05,$1.15,7.0
2014-12-31,8.74,$1.13,7.74
2014-09-30,7.26,$1.11,6.54
2014-06-30,8.39,$0.86,9.76
2014-03-31,8.61,$1.39,6.2
2013-12-31,8.12,$1.94,4.18
2013-09-30,8.13,$2.16,3.76
2013-06-30,6.91,$2.41,2.87
2013-03-31,9.29,$1.95,4.76
2012-12-31,6.69,$1.64,4.08
2012-09-30,5.64,$1.09,5.17
2012-06-30,4.78,$0.60,7.97
2012-03-31,4.2,$0.46,9.13
2011-12-31,3.74,$0.31,12.05
2011-09-30,4.01,$0.53,7.56
2011-06-30,5.31,$0.77,6.89
2011-03-31,5.37,$1.01,5.31
2010-12-31,5.07,$1.38,3.68
2010-09-30,4.83,$1.71,2.83
2010-06-30,4.81,$1.81,2.66
2010-03-31,4.98,$1.56,3.19
2009-12-31,4.6,$0.31,14.83
