Fifth Third Bancorp PE Ratio Historical Data,Fifth Third Bancorp PE Ratio Historical Data,Fifth Third Bancorp PE Ratio Historical Data,Fifth Third Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,42.69,,13.6
2024-06-30,36.49,$3.14,11.62
2024-03-31,36.86,$3.15,11.7
2023-12-31,33.84,$3.23,10.48
2023-09-30,24.61,$3.52,6.99
2023-06-30,25.11,$3.52,7.13
2023-03-31,25.2,$3.46,7.28
2022-12-31,30.66,$3.36,9.12
2022-09-30,29.57,$3.25,9.1
2022-06-30,30.77,$3.31,9.29
2022-03-31,39.07,$3.49,11.19
2021-12-31,39.26,$3.74,10.5
2021-09-30,38.0,$3.62,10.5
2021-06-30,34.0,$3.43,9.91
2021-03-31,33.07,$2.72,12.16
2020-12-31,24.17,$1.83,13.21
2020-09-30,18.28,$2.01,9.09
2020-06-30,16.53,$1.94,8.52
2020-03-31,12.55,$2.28,5.5
2019-12-31,25.54,$3.36,7.6
2019-09-30,22.57,$3.04,7.43
2019-06-30,22.8,$2.94,7.76
2019-03-31,20.43,$3.17,6.45
2018-12-31,18.9,$3.02,6.26
2018-09-30,22.22,$3.05,7.28
2018-06-30,22.69,$3.79,5.99
2018-03-31,24.95,$3.44,7.25
2017-12-31,23.72,$2.85,8.32
2017-09-30,21.76,$2.67,8.15
2017-06-30,20.07,$1.97,10.19
2017-03-31,19.53,$1.92,10.17
2016-12-31,20.62,$1.94,10.63
2016-09-30,15.57,$2.24,6.95
2016-06-30,13.3,$2.04,6.52
2016-03-31,12.52,$2.00,6.26
2015-12-31,14.96,$2.03,7.37
2015-09-30,13.99,$1.63,8.58
2015-06-30,15.29,$1.67,9.16
2014-12-31,14.77,$1.67,8.85
2014-09-30,14.42,$1.67,8.64
2014-06-30,15.28,$1.72,8.89
2014-03-31,16.33,$1.70,9.61
2013-12-31,14.89,$2.00,7.44
2015-03-31,13.76,$2.03,6.78
2013-09-30,12.7,$2.02,6.29
2013-06-30,12.62,$1.93,6.54
2013-03-31,11.33,$1.67,6.78
2012-12-31,10.49,$1.66,6.32
2012-09-30,10.63,$1.56,6.81
2012-06-30,9.12,$1.58,5.77
2012-03-31,9.5,$1.53,6.21
2011-12-31,8.56,$1.18,7.25
2011-09-30,6.75,$1.18,5.72
2011-06-30,8.46,$1.00,8.46
2011-03-31,9.17,$0.81,11.32
2010-12-31,9.65,$0.62,15.57
2010-09-30,7.9,$0.09,87.81
2010-06-30,8.07,$-0.33,0.0
2010-03-31,8.89,$0.66,13.48
2009-12-31,6.39,$0.71,9.0
