Central Garden & Pet PE Ratio Historical Data,Central Garden & Pet PE Ratio Historical Data,Central Garden & Pet PE Ratio Historical Data,Central Garden & Pet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.22,,16.25
2024-06-30,38.5,$2.17,17.76
2024-03-31,42.83,$2.23,19.24
2023-12-31,40.09,$2.02,19.88
2023-09-30,35.31,$1.88,18.78
2023-06-30,31.02,$1.81,17.15
2023-03-31,32.85,$1.67,19.65
2022-12-31,29.96,$1.97,15.22
2022-09-30,28.83,$2.05,14.08
2022-06-30,33.94,$3.18,10.69
2022-03-31,35.17,$3.12,11.27
2021-09-30,38.4,$2.18,17.58
2021-06-30,42.34,$2.43,17.41
2021-03-31,46.41,$1.46,31.7
2020-12-31,30.89,$1.42,21.69
2020-09-30,31.94,$1.97,16.23
2021-12-31,42.1,$1.70,24.71
2020-06-30,28.79,$1.61,17.91
2020-03-31,22.0,$1.23,17.86
2019-12-31,24.86,$1.19,20.85
2019-09-30,23.38,$1.28,18.27
2019-06-30,21.56,$1.40,15.4
2019-03-31,20.45,$1.39,14.69
2018-12-31,27.56,$1.50,18.42
2018-09-30,28.83,$1.87,15.4
2018-06-30,34.78,$1.78,19.5
2018-03-31,34.4,$1.65,20.87
2017-12-31,31.14,$1.50,20.81
2017-09-30,31.07,$1.22,25.55
2017-06-30,25.43,$1.06,23.9
2017-03-31,29.66,$0.98,30.39
2016-12-31,26.47,$0.96,27.58
2016-09-30,20.8,$0.70,29.89
2016-06-30,18.26,$0.71,25.65
2016-03-31,13.07,$0.61,21.5
2015-12-31,10.82,$0.46,23.31
2015-09-30,12.38,$0.54,22.75
2015-06-30,8.45,$0.69,12.28
2015-03-31,7.9,$0.73,10.85
2014-09-30,6.2,$0.14,43.06
2014-06-30,7.28,$-0.17,0.0
2014-03-31,6.5,$-0.34,0.0
2013-12-31,5.5,$-0.46,0.0
2013-09-30,5.63,$0.12,46.93
2014-12-31,7.02,$0.24,29.27
2013-06-30,5.68,$0.17,33.81
2013-03-31,6.9,$0.32,21.55
2012-12-31,8.02,$0.31,25.69
2012-09-30,9.51,$0.35,27.02
2012-06-30,8.3,$0.35,23.59
2012-03-31,7.53,$0.22,33.61
2011-12-31,6.53,$0.30,22.05
2011-09-30,5.52,$0.38,14.38
2011-06-30,8.3,$0.44,18.87
2011-03-31,7.05,$0.51,13.77
2010-12-31,7.87,$0.47,16.68
2010-09-30,8.28,$0.57,14.58
2010-06-30,7.61,$0.78,9.8
2010-03-31,7.9,$0.81,9.77
2009-12-31,8.56,$0.79,10.81
