U.S Physical Therapy PE Ratio Historical Data,U.S Physical Therapy PE Ratio Historical Data,U.S Physical Therapy PE Ratio Historical Data,U.S Physical Therapy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,84.45,,79.67
2024-06-30,91.94,$1.06,86.74
2024-03-31,111.81,$1.23,90.9
2023-12-31,91.88,$1.35,68.06
2023-09-30,90.05,$1.72,52.35
2023-06-30,118.66,$1.93,61.48
2023-03-31,95.34,$2.16,44.14
2022-12-31,78.55,$2.25,34.91
2022-09-30,73.34,$2.99,24.53
2022-06-30,104.84,$2.93,35.78
2022-03-31,95.11,$2.88,33.02
2021-12-31,90.98,$2.42,37.6
2021-09-30,104.91,$2.37,44.27
2021-06-30,109.53,$2.32,47.21
2021-03-31,98.11,$2.49,39.4
2020-12-31,112.99,$2.83,39.93
2020-09-30,81.64,$2.81,29.05
2020-06-30,76.13,$3.05,24.96
2019-12-31,107.03,$2.45,43.69
2019-09-30,121.88,$2.33,52.31
2019-06-30,114.17,$1.87,61.06
2019-03-31,97.61,$1.15,84.88
2018-12-31,94.87,$1.24,76.51
2020-03-31,64.84,$1.08,60.03
2018-09-30,109.72,$1.45,75.67
2018-06-30,88.63,$1.73,51.23
2018-03-31,74.87,$1.64,45.66
2017-12-31,66.31,$1.75,37.89
2017-09-30,56.27,$1.66,33.9
2017-06-30,55.12,$1.71,32.23
2017-03-31,59.22,$1.89,31.34
2016-12-31,63.67,$1.94,32.82
2016-09-30,56.71,$1.94,29.23
2016-06-30,54.31,$1.95,27.85
2016-03-31,44.72,$1.89,23.66
2015-12-31,48.11,$1.80,26.73
2015-09-30,40.11,$1.73,23.18
2015-06-30,48.79,$1.69,28.87
2015-03-31,42.19,$1.71,24.67
2014-12-31,37.15,$1.72,21.6
2014-09-30,31.24,$1.63,19.17
2014-06-30,30.08,$1.22,24.66
2014-03-31,30.3,$1.10,27.54
2013-12-31,30.79,$1.06,29.05
2013-09-30,27.05,$1.08,25.05
2013-06-30,23.98,$1.44,16.65
2013-03-31,23.2,$1.44,16.11
2012-12-31,23.7,$1.82,13.02
2012-09-30,23.34,$1.82,12.82
2012-06-30,21.41,$1.85,11.57
2011-12-31,16.43,$1.75,9.39
2011-09-30,15.4,$1.41,10.92
2011-06-30,20.48,$1.45,14.13
2011-03-31,18.44,$1.37,13.46
2010-12-31,16.24,$1.44,11.28
2012-03-31,19.33,$1.36,14.22
2010-09-30,13.7,$1.17,11.71
2010-06-30,13.83,$1.10,12.57
2010-03-31,14.25,$1.03,13.84
2009-12-31,13.87,$0.99,14.01
