Enerpac Tool Group PE Ratio Historical Data,Enerpac Tool Group PE Ratio Historical Data,Enerpac Tool Group PE Ratio Historical Data,Enerpac Tool Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,44.58,,39.8
2024-08-31,41.2,$1.12,36.79
2024-05-31,39.28,$1.52,25.84
2024-02-29,33.68,$1.27,26.52
2023-11-30,27.27,$1.02,26.74
2023-08-31,26.18,$0.83,31.54
2023-05-31,25.4,$0.62,40.96
2023-02-28,26.9,$0.43,62.57
2022-11-30,25.02,$0.37,67.61
2022-08-31,19.34,$0.29,66.71
2022-05-31,19.46,$0.19,102.44
2022-02-28,17.2,$0.57,30.18
2021-11-30,21.05,$0.60,35.08
2021-08-31,25.09,$0.63,39.82
2021-05-31,27.32,$0.56,48.79
2021-02-28,24.63,$0.07,351.85
2020-11-30,22.33,$0.06,372.1
2020-08-31,20.74,$0.01,2074.06
