Enbridge Inc PE Ratio Historical Data,Enbridge Inc PE Ratio Historical Data,Enbridge Inc PE Ratio Historical Data,Enbridge Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,41.84,,21.79
2024-06-30,34.77,$1.92,18.11
2024-03-31,34.71,$1.97,17.62
2023-12-31,33.87,$2.10,16.13
2023-09-30,30.61,$1.11,27.58
2023-06-30,33.64,$1.40,24.03
2023-03-31,33.97,$0.89,38.17
2022-12-31,34.25,$1.01,33.91
2022-09-30,31.98,$2.11,15.16
2022-06-30,35.87,$1.90,18.88
2022-03-31,38.53,$2.29,16.82
2021-12-31,32.15,$2.26,14.22
2021-09-30,32.21,$2.22,14.51
2021-06-30,31.86,$2.32,13.73
2021-03-31,28.45,$2.35,12.11
2020-12-31,24.55,$1.10,22.32
2020-09-30,21.94,$0.71,30.9
2020-06-30,22.44,$0.70,32.06
2020-03-31,21.06,$0.75,28.08
2019-12-31,28.38,$1.99,14.26
2019-09-30,24.67,$2.16,11.42
2019-06-30,24.95,$1.76,14.18
2019-03-31,24.7,$1.61,15.34
2018-12-31,20.85,$1.16,17.97
2018-09-30,21.33,$0.80,26.66
2018-06-30,23.24,$1.31,17.74
2018-03-31,20.17,$1.24,16.27
2017-12-31,24.68,$1.39,17.76
2017-09-30,26.05,$1.59,16.38
2017-06-30,24.48,$1.03,23.77
2017-03-31,25.45,$0.86,29.59
2016-12-31,25.36,$1.46,17.37
2016-09-30,26.38,$1.50,17.59
2016-06-30,25.02,$0.98,25.53
2016-03-31,22.75,$1.28,17.78
2015-12-31,19.17,$-0.11,0.0
2015-09-30,21.24,$-0.36,0.0
2015-06-30,26.55,$0.16,165.93
2015-03-31,27.31,$0.60,45.52
2014-12-31,28.73,$1.41,20.38
2014-09-30,26.58,$1.04,25.56
2014-06-30,26.18,$1.62,16.16
2014-03-31,24.93,$0.68,36.66
2013-12-31,23.75,$0.56,42.41
2013-09-30,22.54,$1.03,21.88
2013-06-30,22.55,$0.78,28.92
2013-03-31,24.78,$0.74,33.49
2012-12-31,22.91,$0.77,29.75
2012-09-30,20.49,$1.03,19.89
2012-06-30,20.81,$0.80,26.01
2012-03-31,20.11,$1.14,17.64
2011-12-31,19.22,$1.34,14.35
2011-09-30,16.29,$1.34,12.2
2011-06-30,16.43,$1.53,10.74
2011-03-31,15.43,$1.36,11.34
2010-12-31,14.04,$1.27,11.06
2010-09-30,12.92,$1.22,10.64
2010-06-30,11.41,$1.40,8.18
2010-03-31,11.6,$1.72,6.76
2009-12-31,11.12,$1.92,5.79
