Mizuho Financial PE Ratio Historical Data,Mizuho Financial PE Ratio Historical Data,Mizuho Financial PE Ratio Historical Data,Mizuho Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.28,,10.97
2024-06-30,4.23,$0.39,10.85
2023-12-31,3.44,$0.42,8.19
2023-06-30,3.01,$0.51,5.91
2022-06-30,2.09,$0.49,4.27
2021-06-30,2.54,$0.51,4.98
2020-06-30,2.1,$0.41,5.11
2019-06-30,2.32,$0.42,5.53
2018-06-30,2.63,$0.40,6.57
2017-06-30,2.74,$0.34,8.06
2016-06-30,2.05,$0.37,5.54
2015-06-30,3.0,$0.41,7.32
2015-03-31,2.46,$0.43,5.71
2014-12-31,2.35,$0.47,5.01
2014-09-30,2.47,$0.47,5.26
2014-06-30,2.84,$0.47,6.05
2014-03-31,2.75,$0.55,5.01
2013-12-31,3.02,$0.62,4.87
2013-09-30,2.99,$0.69,4.33
2013-06-30,2.82,$0.55,5.13
2013-03-31,2.92,$0.53,5.51
2012-12-31,2.47,$0.58,4.26
2012-09-30,2.18,$0.41,5.32
2012-06-30,2.2,$0.58,3.8
2012-03-31,2.14,$0.50,4.27
2011-12-31,1.74,$0.26,6.68
2011-09-30,1.85,$0.32,5.77
2011-06-30,2.07,$0.35,5.93
2011-03-31,2.1,$0.44,4.77
2010-12-31,2.28,$0.61,3.74
2010-09-30,1.75,$0.73,2.39
2010-06-30,1.98,$0.52,3.8
2010-03-31,2.4,$0.33,7.27
2009-12-31,2.08,$0.18,11.58
