SFL PE Ratio Historical Data,SFL PE Ratio Historical Data,SFL PE Ratio Historical Data,SFL PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.33,,11.33
2024-06-30,13.54,$1.00,13.54
2024-03-31,12.62,$0.97,13.01
2023-12-31,10.59,$0.66,16.04
2023-09-30,10.23,$0.79,12.95
2023-06-30,8.38,$0.95,8.82
2023-03-31,8.31,$1.27,6.54
2022-12-31,7.87,$1.59,4.95
2022-09-30,7.59,$1.84,4.13
2022-06-30,7.74,$1.71,4.53
2022-03-31,8.12,$1.41,5.76
2021-12-31,6.37,$1.31,4.86
2021-09-30,6.41,$0.83,7.72
2021-06-30,5.74,$0.68,8.45
2021-03-31,5.92,$0.53,11.17
2020-09-30,5.31,$0.52,10.2
2020-06-30,6.4,$0.68,9.42
2019-09-30,8.94,$0.60,14.9
2019-06-30,7.78,$0.88,8.84
2019-03-31,7.46,$0.77,9.68
2018-12-31,6.18,$0.70,8.83
2018-09-30,7.93,$0.87,9.11
2018-06-30,8.32,$0.81,10.27
2018-03-31,7.77,$1.01,7.7
2017-12-31,8.23,$1.08,7.62
2017-06-30,6.88,$1.23,5.6
2017-03-31,7.19,$1.43,5.03
2016-12-31,7.04,$1.58,4.46
2016-09-30,6.78,$1.85,3.66
2016-06-30,6.58,$1.81,3.64
2016-03-31,6.03,$1.88,3.21
2015-12-31,6.96,$2.11,3.3
2017-09-30,7.52,$1.88,4.0
2015-09-30,6.64,$1.84,3.61
2015-06-30,6.49,$1.72,3.77
2015-03-31,5.74,$1.23,4.67
2014-12-31,5.33,$1.32,4.04
2014-09-30,6.19,$1.25,4.95
2014-06-30,6.66,$1.02,6.53
2014-03-31,6.3,$1.07,5.89
2013-12-31,5.62,$1.01,5.56
2013-09-30,5.11,$1.41,3.63
2013-06-30,4.85,$1.71,2.83
2013-03-31,5.62,$2.19,2.57
2012-12-31,5.3,$2.30,2.3
2012-09-30,4.89,$2.08,2.35
2012-06-30,4.75,$1.99,2.39
2012-03-31,4.54,$1.74,2.61
2011-12-31,2.71,$1.66,1.63
2011-09-30,3.64,$1.67,2.18
2011-06-30,4.91,$1.76,2.79
2011-03-31,5.52,$1.79,3.09
2010-12-31,5.63,$2.10,2.68
2010-09-30,5.0,$2.51,1.99
2010-06-30,4.52,$2.51,1.8
2010-03-31,4.41,$2.68,1.64
2009-12-31,3.33,$2.55,1.31
