Altria PE Ratio Historical Data,Altria PE Ratio Historical Data,Altria PE Ratio Historical Data,Altria PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,53.77,,9.27
2024-06-30,45.55,$5.80,7.85
2024-03-31,42.68,$4.78,8.93
2023-12-31,38.59,$4.57,8.44
2023-09-30,39.27,$4.91,8.0
2023-06-30,41.38,$3.81,10.86
2023-03-31,39.91,$3.11,12.83
2022-12-31,40.02,$3.19,12.54
2022-09-30,34.64,$2.57,13.48
2022-06-30,35.04,$0.97,36.13
2022-03-31,43.0,$1.64,26.22
2021-12-31,38.34,$1.33,28.83
2021-09-30,36.13,$1.48,24.41
2021-06-30,37.16,$2.45,15.17
2021-03-31,39.17,$2.33,16.81
2020-12-31,30.85,$2.39,12.91
2020-09-30,28.49,$0.36,79.14
2020-06-30,28.37,$-0.52,0.0
2020-03-31,27.37,$-0.49,0.0
2019-12-31,34.43,$-0.72,0.0
2019-09-30,27.75,$0.94,29.52
2019-06-30,31.5,$3.36,9.37
2019-03-31,37.61,$4.89,7.69
2018-12-31,31.89,$5.26,6.06
2018-09-30,38.3,$5.63,6.8
2017-12-31,43.74,$5.32,8.22
2017-09-30,38.49,$7.99,4.82
2017-06-30,44.73,$8.01,5.58
2017-03-31,42.55,$7.54,5.64
2016-12-31,39.96,$7.66,5.22
2018-06-30,35.6,$3.01,11.83
2016-09-30,37.03,$2.66,13.92
2016-06-30,40.0,$2.88,13.89
2016-03-31,36.04,$2.78,12.96
2015-12-31,33.17,$2.68,12.38
2015-09-30,30.7,$2.67,11.5
2015-06-30,27.31,$2.60,10.5
2015-03-31,27.63,$2.50,11.05
2014-12-31,26.95,$2.57,10.49
2014-09-30,24.87,$2.18,11.41
2014-06-30,22.44,$2.17,10.34
2014-03-31,19.79,$2.16,9.16
2013-12-31,20.03,$2.26,8.86
2013-09-30,17.7,$2.57,6.89
2013-06-30,17.79,$2.19,8.12
2013-03-31,17.27,$2.16,7.99
2012-12-31,15.58,$1.95,7.99
2012-09-30,16.32,$1.81,9.02
2012-06-30,16.67,$2.06,8.09
2012-03-31,14.71,$2.46,5.98
2011-12-31,13.94,$2.19,6.37
2011-09-30,12.44,$2.23,5.58
2018-03-31,38.59,$2.10,18.38
2011-06-30,12.06,$1.64,7.36
2011-03-31,11.72,$1.93,6.07
2010-12-31,10.92,$1.87,5.84
2010-09-30,10.5,$1.78,5.9
2010-06-30,8.62,$1.66,5.19
2010-03-31,8.67,$1.65,5.26
2009-12-31,8.16,$1.54,5.3
