Sherwin-Williams PE Ratio Historical Data,Sherwin-Williams PE Ratio Historical Data,Sherwin-Williams PE Ratio Historical Data,Sherwin-Williams PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,369.37,,37.65
2024-06-30,297.83,$9.81,30.36
2024-03-31,345.84,$9.38,36.87
2023-12-31,309.88,$9.25,33.5
2023-09-30,252.83,$9.34,27.07
2023-06-30,262.61,$9.01,29.15
2023-03-31,221.73,$8.15,27.21
2022-12-31,233.49,$7.72,30.24
2022-09-30,200.92,$7.39,27.19
2022-06-30,219.2,$6.65,32.96
2022-03-31,243.8,$6.86,35.54
2021-12-31,343.18,$6.96,49.31
2021-09-30,272.15,$7.30,37.3
2021-06-30,264.58,$7.97,33.2
2021-03-31,238.44,$7.71,30.93
2020-12-31,236.86,$7.35,32.21
2020-09-30,224.14,$6.75,33.19
2020-06-30,185.52,$6.25,29.67
2020-03-31,147.18,$5.77,25.51
2019-12-31,186.42,$5.49,33.96
2019-09-30,175.33,$4.96,35.35
2019-06-30,146.13,$4.15,35.24
2019-03-31,136.98,$3.89,35.24
2018-12-31,124.81,$3.89,32.11
2018-09-30,144.11,$6.66,21.64
2018-06-30,128.78,$6.53,19.72
2018-03-31,123.61,$6.23,19.83
2017-12-31,128.98,$6.08,21.23
2017-09-30,112.38,$4.31,26.09
2017-06-30,109.88,$4.53,24.27
2016-12-31,83.69,$3.93,21.3
2016-09-30,85.88,$3.92,21.91
2016-06-30,90.9,$3.40,26.71
2016-03-31,87.86,$3.40,25.87
2015-12-31,79.87,$4.11,19.45
2017-03-31,96.86,$3.86,25.09
2015-09-30,68.37,$3.47,19.68
2015-06-30,84.19,$3.27,25.77
2015-03-31,86.89,$3.01,28.84
2014-12-31,80.15,$2.93,27.32
2014-09-30,66.57,$2.86,23.3
2014-06-30,62.74,$2.59,24.22
2014-03-31,59.61,$2.43,24.53
2013-12-31,55.33,$2.42,22.87
2013-09-30,54.79,$2.41,22.7
2013-06-30,52.95,$2.31,22.92
2013-03-31,50.51,$2.21,22.82
2012-12-31,45.86,$2.16,21.23
2012-09-30,44.28,$1.83,24.15
2012-06-30,39.24,$1.66,23.69
2012-03-31,32.12,$1.49,21.6
2011-12-31,26.28,$1.38,19.04
2011-09-30,21.79,$1.56,14.0
2011-06-30,24.46,$1.52,16.1
2011-03-31,24.4,$1.51,16.12
2010-12-31,24.22,$1.40,17.26
2010-09-30,21.62,$1.37,15.74
2010-06-30,19.81,$1.34,14.75
2010-03-31,19.29,$1.25,15.47
2009-12-31,17.47,$1.25,13.94
