Sprouts Farmers Market PE Ratio Historical Data,Sprouts Farmers Market PE Ratio Historical Data,Sprouts Farmers Market PE Ratio Historical Data,Sprouts Farmers Market PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,116.65,,36.57
2024-06-30,83.66,$3.19,26.23
2024-03-31,64.48,$2.90,22.23
2023-12-31,48.11,$2.51,19.17
2023-09-30,42.8,$2.44,17.54
2023-06-30,36.73,$2.41,15.24
2023-03-31,35.03,$2.33,15.03
2022-12-31,32.37,$2.39,13.54
2022-09-30,27.75,$2.29,12.12
2022-06-30,25.32,$2.24,11.3
2022-03-31,31.98,$2.19,14.6
2021-12-31,29.68,$2.10,14.13
2021-09-30,23.17,$2.36,9.82
2021-06-30,24.85,$2.31,10.76
2021-03-31,26.62,$2.36,11.28
2020-12-31,20.1,$1.93,10.41
2020-09-30,20.93,$1.57,13.33
2020-06-30,25.59,$1.36,18.82
2019-12-31,19.35,$1.25,15.48
2019-09-30,19.34,$1.08,17.91
2019-06-30,18.89,$1.64,11.52
2019-03-31,21.54,$1.63,13.21
2018-12-31,23.51,$1.49,15.78
2020-03-31,18.59,$1.89,9.84
2018-09-30,27.41,$1.40,19.58
2018-06-30,22.07,$1.34,16.47
2018-03-31,23.47,$1.31,17.92
2017-12-31,24.35,$1.14,21.36
2017-09-30,18.77,$0.97,19.35
2017-06-30,22.67,$0.90,25.19
2017-03-31,23.12,$0.86,26.88
2016-12-31,18.92,$0.83,22.8
2016-09-30,20.65,$0.89,23.2
2016-06-30,22.9,$0.94,24.36
2016-03-31,29.04,$0.89,32.63
2015-12-31,26.59,$0.83,32.04
2015-09-30,21.1,$0.76,27.76
2015-06-30,26.98,$0.72,37.47
2015-03-31,35.23,$0.72,48.93
2014-12-31,33.98,$0.70,48.54
2014-09-30,29.07,$0.65,44.72
2014-06-30,32.72,$0.56,58.43
