CF Industries Holdings PE Ratio Historical Data,CF Industries Holdings PE Ratio Historical Data,CF Industries Holdings PE Ratio Historical Data,CF Industries Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,83.09,,14.78
2024-06-30,73.66,$5.62,13.11
2024-03-31,82.14,$6.02,13.64
2023-12-31,77.97,$7.84,9.95
2023-09-30,83.68,$10.75,7.78
2023-06-30,67.4,$12.08,5.58
2023-03-31,69.96,$14.96,4.68
2022-12-31,81.85,$16.32,5.02
2022-09-30,92.12,$15.24,6.04
2022-06-30,81.74,$12.20,6.7
2022-03-31,97.89,$7.76,12.61
2021-12-31,66.95,$4.25,15.75
2021-09-30,52.55,$1.38,38.08
2021-06-30,48.14,$2.11,22.82
2021-03-31,42.23,$1.86,22.7
2020-12-31,35.78,$1.47,24.34
2020-09-30,28.11,$1.32,21.3
2020-06-30,25.54,$1.74,14.68
2020-03-31,24.39,$2.13,11.45
2019-12-31,42.48,$2.22,19.14
2019-09-30,43.5,$2.18,19.96
2019-06-30,41.3,$2.02,20.45
2019-03-31,35.88,$1.37,26.19
2018-12-31,37.93,$1.24,30.59
2018-09-30,47.14,$3.01,15.66
2018-06-30,38.21,$2.51,15.22
2018-03-31,32.23,$1.89,17.05
2017-12-31,36.07,$1.52,23.73
2017-09-30,29.56,$-1.83,0.0
2017-06-30,23.28,$-1.59,0.0
2017-03-31,24.17,$-1.40,0.0
2016-12-31,25.7,$-1.19,0.0
2016-09-30,19.66,$0.29,67.81
2016-06-30,19.2,$0.81,23.71
2016-03-31,24.72,$2.10,11.77
2015-12-31,31.85,$2.95,10.8
2015-09-30,34.82,$3.80,9.16
2015-06-30,49.6,$3.94,12.6
2015-03-31,43.57,$3.67,11.88
2014-12-31,41.65,$5.29,7.88
2014-09-30,42.43,$5.47,7.76
2014-06-30,36.33,$5.76,6.31
2014-03-31,39.21,$6.21,6.31
2013-12-31,34.91,$4.92,7.09
2013-09-30,31.44,$5.26,5.97
2013-06-30,25.52,$5.72,4.46
2013-03-31,28.27,$5.91,4.79
2012-12-31,30.11,$5.72,5.26
2012-09-30,32.87,$5.57,5.9
2012-06-30,28.6,$5.25,5.45
2012-03-31,26.9,$4.74,5.68
2011-12-31,21.3,$4.41,4.83
2011-09-30,18.09,$3.63,4.98
2011-06-30,20.72,$2.82,7.34
2011-03-31,19.99,$1.78,11.23
2010-12-31,19.74,$0.98,20.14
2010-09-30,13.93,$0.63,22.05
2010-06-30,9.25,$0.65,14.14
2010-03-31,13.27,$1.21,10.95
2009-12-31,13.2,$1.49,8.88
