Keros Therapeutics PE Ratio Historical Data,Keros Therapeutics PE Ratio Historical Data,Keros Therapeutics PE Ratio Historical Data,Keros Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,61.09,,0.0
2024-06-30,45.7,$-5.13,0.0
2024-03-31,66.2,$-5.15,0.0
2023-12-31,39.76,$-5.20,0.0
2023-09-30,31.88,$-4.95,0.0
2023-06-30,40.18,$-4.54,0.0
2023-03-31,42.7,$-4.40,0.0
2022-12-31,48.02,$-4.15,0.0
2022-09-30,37.62,$-3.36,0.0
2022-06-30,27.63,$-3.31,0.0
2022-03-31,54.38,$-2.85,0.0
2021-12-31,58.51,$-2.52,0.0
2021-09-30,39.56,$-2.71,0.0
2021-06-30,42.47,$-2.44,0.0
2021-03-31,61.55,$-2.39,0.0
