Iamgold PE Ratio Historical Data,Iamgold PE Ratio Historical Data,Iamgold PE Ratio Historical Data,Iamgold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.11,,20.44
2024-06-30,3.75,$0.25,15.0
2024-03-31,3.33,$0.28,11.89
2023-12-31,2.53,$0.19,13.32
2023-09-30,2.15,$0.26,8.27
2023-06-30,2.63,$0.03,87.67
2023-03-31,2.71,$-0.18,0.0
2022-12-31,2.58,$-0.15,0.0
2022-09-30,1.07,$-0.61,0.0
2022-06-30,1.61,$-0.54,0.0
2022-03-31,3.48,$-0.53,0.0
2021-12-31,3.13,$-0.54,0.0
2021-09-30,2.26,0,0.0
2021-06-30,2.95,$0.14,21.07
2021-03-31,2.98,$0.20,14.9
2020-12-31,3.67,$0.09,40.78
2020-09-30,3.83,$-0.80,0.0
2020-06-30,3.95,$-0.79,0.0
2020-03-31,2.28,$-0.87,0.0
2019-12-31,3.73,$-0.89,0.0
2019-09-30,3.41,$-0.20,0.0
2019-06-30,3.38,$-0.21,0.0
2019-03-31,3.47,$-0.24,0.0
2018-12-31,3.68,$-0.06,0.0
2018-09-30,3.68,$-0.03,0.0
2018-06-30,5.81,$0.06,96.83
2018-03-31,5.19,$1.20,4.33
2017-12-31,5.83,$1.07,5.45
2017-09-30,6.1,$1.10,5.55
2017-06-30,5.16,$1.07,4.82
2017-03-31,4.0,$-0.04,0.0
2016-12-31,3.85,$0.13,29.62
2016-09-30,4.05,$-1.59,0.0
2016-06-30,4.14,$-1.84,0.0
2016-03-31,2.21,$-1.86,0.0
2015-12-31,1.42,$-1.93,0.0
2015-09-30,1.63,$-0.52,0.0
2015-06-30,2.0,$-0.50,0.0
2015-03-31,1.87,$-0.49,0.0
2014-12-31,2.7,$-0.54,0.0
2014-09-30,2.76,$-2.45,0.0
2014-06-30,4.12,$-2.19,0.0
2014-03-31,3.52,$-2.23,0.0
2013-12-31,3.33,$-2.21,0.0
2013-09-30,4.75,$0.24,19.79
2013-06-30,4.21,$0.38,11.08
2013-03-31,7.0,$0.60,11.67
2012-12-31,11.15,$0.89,12.53
2012-09-30,15.21,$1.02,14.91
2012-06-30,11.35,$0.92,12.34
2012-03-31,12.65,$2.06,6.14
2011-12-31,15.09,$2.15,7.02
2011-09-30,18.68,$2.19,8.53
2011-06-30,17.72,$2.19,8.09
2011-03-31,20.69,$1.01,20.48
2010-12-31,16.72,$0.76,22.0
2010-09-30,16.49,$0.24,68.71
2010-06-30,16.46,$0.31,53.1
2010-03-31,12.31,$0.33,37.3
2009-12-31,14.56,$0.34,42.83
