Primerica PE Ratio Historical Data,Primerica PE Ratio Historical Data,Primerica PE Ratio Historical Data,Primerica PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,281.0,,22.5
2024-06-30,235.76,$12.49,18.88
2024-03-31,251.26,$16.43,15.29
2023-12-31,203.76,$15.88,12.83
2023-09-30,191.52,$15.12,12.67
2023-06-30,194.6,$12.26,15.87
2023-03-31,168.89,$11.08,15.24
2022-12-31,138.53,$9.76,14.19
2022-09-30,120.13,$7.09,16.94
2022-06-30,115.99,$8.54,13.58
2022-03-31,131.99,$8.97,14.71
2021-12-31,147.26,$9.37,15.72
2021-09-30,147.16,$11.02,13.35
2021-06-30,146.23,$11.01,13.28
2021-03-31,140.73,$10.30,13.66
2020-12-31,127.09,$9.59,13.25
2020-09-30,107.04,$9.31,11.5
2020-06-30,109.97,$8.78,12.52
2020-03-31,83.14,$8.55,9.72
2019-12-31,122.31,$8.63,14.17
2019-09-30,118.89,$8.38,14.19
2019-06-30,111.76,$8.04,13.9
2019-03-31,113.5,$7.71,14.72
2018-12-31,90.53,$7.34,12.33
2018-09-30,111.46,$9.07,12.29
2018-06-30,91.89,$8.59,10.7
2018-03-31,88.9,$8.00,11.11
2017-12-31,93.22,$7.65,12.19
2017-09-30,74.71,$5.14,14.53
2017-06-30,69.22,$4.90,14.13
2017-03-31,74.93,$4.77,15.71
2016-12-31,62.89,$4.58,13.73
2016-09-30,48.1,$4.34,11.08
2016-06-30,51.75,$4.10,12.62
2016-03-31,40.13,$3.81,10.53
2015-12-31,42.4,$3.71,11.43
2015-09-30,40.33,$3.58,11.27
2015-06-30,40.74,$3.35,12.16
2015-03-31,45.23,$3.30,13.71
2014-12-31,48.07,$3.29,14.61
2014-09-30,42.62,$3.12,13.66
2014-06-30,42.19,$3.15,13.39
2014-03-31,41.42,$3.00,13.81
2013-12-31,37.63,$2.84,13.25
2013-09-30,35.28,$2.84,12.42
2013-06-30,32.65,$2.78,11.75
2013-03-31,28.5,$2.76,10.32
2012-12-31,26.0,$2.72,9.56
2012-09-30,24.73,$2.62,9.44
2012-06-30,23.03,$2.43,9.48
2012-03-31,21.67,$2.29,9.46
2011-12-31,19.96,$2.36,8.46
2011-09-30,18.49,$2.48,7.45
2011-06-30,18.81,$2.47,7.62
2011-03-31,21.81,$2.18,10.01
