Nicolet Bankshares PE Ratio Historical Data,Nicolet Bankshares PE Ratio Historical Data,Nicolet Bankshares PE Ratio Historical Data,Nicolet Bankshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,104.99,,15.22
2024-06-30,82.8,$6.90,12.0
2024-03-31,85.75,$6.49,13.21
2023-12-31,80.01,$4.06,19.71
2023-09-30,69.14,$3.87,17.86
2023-06-30,67.06,$4.02,16.68
2023-03-31,62.01,$4.24,14.63
2022-12-31,78.48,$6.55,11.98
2022-09-30,69.28,$5.97,11.6
2022-06-30,71.15,$5.41,13.15
2022-03-31,92.03,$5.45,16.89
2021-12-31,84.34,$5.50,15.33
2021-09-30,72.96,$5.99,12.18
2021-06-30,69.18,$6.98,9.91
2021-03-31,82.09,$6.49,12.65
2020-12-31,65.26,$5.72,11.41
2020-09-30,53.71,$5.16,10.41
2020-06-30,53.9,$4.84,11.14
2020-03-31,53.68,$5.47,9.81
2019-12-31,72.63,$5.54,13.11
2019-09-30,65.47,$5.47,11.97
2019-06-30,61.04,$5.16,11.83
2019-03-31,58.62,$4.23,13.86
2018-12-31,48.0,$4.12,11.65
2018-09-30,53.61,$3.89,13.78
2018-06-30,54.2,$3.71,14.61
2018-03-31,54.16,$3.56,15.21
2017-12-31,53.84,$3.31,16.27
2017-09-30,56.58,$3.11,18.19
2017-06-30,53.81,$2.89,18.62
2017-03-31,46.56,$2.45,19.0
2016-12-31,46.91,$2.33,20.13
