Kennedy-Wilson Holdings PE Ratio Historical Data,Kennedy-Wilson Holdings PE Ratio Historical Data,Kennedy-Wilson Holdings PE Ratio Historical Data,Kennedy-Wilson Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.06,,0.0
2024-06-30,9.62,$-2.68,0.0
2024-03-31,8.38,$-1.97,0.0
2023-12-31,11.76,$-2.46,0.0
2023-09-30,13.74,$-0.52,0.0
2023-06-30,14.97,$0.26,57.59
2023-03-31,14.99,$-0.09,0.0
2022-12-31,14.01,$0.45,31.13
2022-09-30,13.56,$0.56,24.21
2022-06-30,16.35,$0.91,17.97
2022-03-31,20.79,$2.51,8.28
2021-12-31,20.16,$2.23,9.04
2021-09-30,17.49,$3.17,5.52
2021-06-30,16.44,$2.52,6.52
2021-03-31,16.54,$0.69,23.97
2020-12-31,14.48,$0.66,21.95
2020-09-30,11.61,$0.57,20.37
2020-06-30,11.99,$0.90,13.32
2020-03-31,10.42,$1.56,6.68
2019-12-31,17.04,$1.59,10.72
2019-09-30,16.58,$0.68,24.39
2019-06-30,15.41,$0.62,24.86
2019-03-31,15.86,$1.03,15.4
2018-12-31,13.34,$1.05,12.71
2018-09-30,15.61,$1.53,10.2
2018-06-30,15.22,$1.36,11.19
2018-03-31,12.41,$0.67,18.52
2017-12-31,12.24,$0.69,17.74
2017-09-30,12.94,$0.13,99.57
2017-06-30,13.17,$0.18,73.18
2017-03-31,15.21,$0.09,169.04
2016-12-31,13.94,$0.02,696.9
2016-09-30,15.23,$0.14,108.76
2016-06-30,12.72,$0.30,42.41
2016-03-31,14.58,$0.58,25.14
2015-12-31,15.93,$0.61,26.11
2015-09-30,14.59,$0.01,1459.44
2015-06-30,16.1,$-0.15,0.0
2015-03-31,17.04,$-0.04,0.0
2014-12-31,16.41,$0.12,136.77
2014-09-30,15.49,$0.42,36.88
2014-06-30,17.27,$0.39,44.29
2014-03-31,14.45,$-0.02,0.0
2013-12-31,14.22,$-0.20,0.0
2013-09-30,11.83,$-0.01,0.0
2013-06-30,10.56,$-0.06,0.0
2013-03-31,9.81,$-0.09,0.0
2012-12-31,8.8,$-0.10,0.0
2012-09-30,8.76,$-0.10,0.0
2012-06-30,8.75,$-0.15,0.0
2012-03-31,8.4,$-0.15,0.0
2011-12-31,6.56,$-0.10,0.0
2011-09-30,6.55,$-0.23,0.0
2011-06-30,7.54,$-0.24,0.0
2011-03-31,6.66,$0.02,333.11
2010-12-31,6.13,$-0.04,0.0
2010-09-30,6.5,$-0.39,0.0
2010-06-30,6.2,$-0.22,0.0
2010-03-31,6.23,$-0.42,0.0
2009-12-31,5.49,$-0.34,0.0
