OneSpaWorld Holdings PE Ratio Historical Data,OneSpaWorld Holdings PE Ratio Historical Data,OneSpaWorld Holdings PE Ratio Historical Data,OneSpaWorld Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.82,,39.6
2024-06-30,15.37,$0.45,34.16
2024-03-31,13.23,$0.27,49.0
2023-12-31,14.1,$-0.11,0.0
2023-09-30,11.22,$-0.07,0.0
2023-06-30,12.1,$-0.17,0.0
2023-03-31,11.99,$0.32,37.47
2022-12-31,9.33,$0.42,22.21
2022-09-30,8.4,$0.33,25.45
2022-06-30,7.17,$0.13,55.15
2022-03-31,10.2,$-0.37,0.0
2021-12-31,10.02,$-0.82,0.0
2021-09-30,9.97,$-1.03,0.0
2021-06-30,9.69,$-1.15,0.0
2021-03-31,10.65,$-1.59,0.0
2020-12-31,10.14,$-4.32,0.0
2020-09-30,6.5,$-3.98,0.0
2020-06-30,4.77,$-3.69,0.0
2020-03-31,4.06,$-3.16,0.0
2019-12-31,16.8,$-0.65,0.0
2019-09-30,15.49,$-0.66,0.0
2019-06-30,15.46,$-0.69,0.0
2019-03-31,13.63,$-0.74,0.0
2018-12-31,9.99,0,0.0
2018-09-30,9.74,0,0.0
