Alaska Air PE Ratio Historical Data,Alaska Air PE Ratio Historical Data,Alaska Air PE Ratio Historical Data,Alaska Air PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,45.65,,9.86
2024-06-30,40.4,$4.63,8.73
2023-12-31,39.07,$1.81,21.59
2023-09-30,37.08,$2.00,18.54
2023-06-30,53.18,$-0.13,0.0
2023-03-31,41.96,$-1.68,0.0
2022-12-31,42.94,$0.52,82.58
2024-03-31,42.99,$-0.79,0.0
2022-09-30,39.15,$0.40,97.88
2022-06-30,40.05,$1.62,24.72
2022-03-31,58.01,$3.68,15.76
2021-12-31,52.1,$3.77,13.82
2021-09-30,58.6,$0.16,366.25
2021-06-30,60.31,$-4.86,0.0
2021-03-31,69.21,$-9.74,0.0
2020-12-31,52.0,$-10.56,0.0
2020-09-30,36.63,$-5.63,0.0
2020-06-30,36.26,$0.46,78.83
2020-03-31,28.47,$4.30,6.62
2019-12-31,67.37,$6.20,10.87
2019-09-30,64.22,$4.93,13.03
2019-06-30,62.87,$4.08,15.41
2019-03-31,54.9,$3.53,15.55
2018-12-31,59.21,$3.53,16.77
2018-09-30,66.69,$6.31,10.57
2018-06-30,58.21,$6.70,8.69
2018-03-31,59.39,$7.52,7.9
2017-12-31,70.12,$8.28,8.47
2017-09-30,72.42,$6.23,11.62
2017-06-30,84.91,$6.16,13.78
2017-03-31,86.93,$5.88,14.78
2016-12-31,83.38,$6.55,12.73
2016-09-30,61.66,$7.14,8.64
2016-06-30,54.35,$7.21,7.54
2016-03-31,76.15,$6.90,11.04
2015-12-31,74.47,$6.55,11.37
2015-09-30,73.29,$6.49,11.29
2015-06-30,59.29,$5.54,10.7
2014-12-31,54.66,$4.43,12.34
2014-09-30,39.73,$3.88,10.24
2014-06-30,43.25,$3.55,12.18
2014-03-31,42.35,$3.38,12.53
2013-12-31,33.2,$3.44,9.66
2015-03-31,60.72,$3.13,19.4
2013-09-30,28.26,$2.32,12.21
2013-06-30,23.39,$2.43,9.63
2013-03-31,28.77,$2.16,13.32
2012-12-31,19.38,$2.19,8.87
2012-09-30,15.77,$2.32,6.8
2012-06-30,16.15,$1.72,9.42
2012-03-31,16.11,$1.45,11.15
2011-12-31,16.89,$1.67,10.13
2011-09-30,12.66,$1.67,7.6
2011-06-30,15.4,$1.97,7.84
2011-03-31,14.26,$2.17,6.57
2010-12-31,12.75,$1.71,7.48
2010-09-30,11.48,$1.44,8.0
2010-06-30,10.11,$1.22,8.29
2010-03-31,9.27,$1.02,9.09
2009-12-31,7.77,$0.85,9.14
