Banco Santander Brasil SA PE Ratio Historical Data,Banco Santander Brasil SA PE Ratio Historical Data,Banco Santander Brasil SA PE Ratio Historical Data,Banco Santander Brasil SA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.1,,inf
2024-06-30,4.87,0,0.0
2024-03-31,5.55,0,0.0
2023-09-30,4.83,0,0.0
2022-09-30,5.01,$0.17,29.49
2022-06-30,4.81,$0.26,18.49
2022-03-31,6.65,$0.31,21.46
2021-12-31,4.52,$0.40,11.29
2021-09-30,5.38,$0.41,13.11
2021-06-30,6.59,$0.32,20.58
2021-03-31,5.55,$0.46,12.06
2020-12-31,6.75,$0.47,14.36
2023-06-30,5.92,$0.40,14.79
2020-09-30,3.82,$0.75,5.1
2020-06-30,4.01,$0.83,4.84
2020-03-31,3.93,$0.96,4.1
2019-12-31,8.84,$1.10,8.04
2019-09-30,7.89,$1.00,7.89
2019-06-30,8.55,$0.94,9.09
2019-03-31,8.04,$0.92,8.74
2018-12-31,7.97,$0.90,8.85
2018-09-30,6.28,$0.85,7.39
2018-06-30,5.32,$0.73,7.28
2018-03-31,8.49,$0.70,12.12
2017-12-31,6.57,$0.63,10.43
2017-09-30,5.91,$0.55,10.75
2017-06-30,5.07,$0.55,9.22
2017-03-31,5.91,$0.44,13.43
2016-12-31,5.75,$0.40,14.37
2016-09-30,4.33,$0.33,13.13
2016-06-30,3.66,$0.30,12.19
2016-03-31,2.98,$0.43,6.94
2015-12-31,2.36,$0.43,5.48
2015-09-30,1.91,$0.46,4.15
2015-06-30,3.12,$0.46,6.79
2015-03-31,2.53,$0.34,7.43
2014-12-31,2.84,$1.78,1.59
2014-09-30,3.69,$1.70,2.17
2014-06-30,3.87,$3.04,1.27
2014-03-31,3.1,$3.84,0.81
2013-12-31,3.34,$2.32,1.44
2013-09-30,3.77,$3.27,1.15
2013-06-30,3.33,$3.60,0.93
2013-03-31,3.87,$4.51,0.86
2012-12-31,3.88,$6.66,0.58
2012-09-30,3.84,$6.99,0.55
2012-06-30,3.97,$7.92,0.5
2012-03-31,4.67,$7.82,0.6
2011-12-31,4.15,$8.37,0.5
2011-09-30,3.68,$9.75,0.38
2011-03-31,5.99,$9.46,0.63
2010-12-31,6.59,$7.77,0.85
2010-09-30,6.55,$7.12,0.92
2010-06-30,4.85,$6.13,0.79
