PACCAR PE Ratio Historical Data,PACCAR PE Ratio Historical Data,PACCAR PE Ratio Historical Data,PACCAR PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,96.18,,10.19
2024-06-30,102.62,$9.44,10.87
2024-03-31,123.16,$9.64,12.78
2023-12-31,96.83,$8.77,11.04
2023-09-30,81.34,$7.83,10.39
2023-06-30,79.77,$6.96,11.46
2023-03-31,69.56,$6.01,11.57
2022-12-31,62.49,$5.76,10.85
2022-09-30,51.18,$4.98,10.28
2022-06-30,50.18,$4.23,11.87
2022-03-31,53.45,$3.79,14.12
2021-12-31,53.38,$3.54,15.08
2021-09-30,46.73,$3.34,13.99
2021-06-30,52.62,$3.36,15.66
2021-03-31,54.59,$2.71,20.17
2020-12-31,50.52,$2.49,20.26
2020-09-30,49.36,$2.73,18.06
2020-06-30,43.17,$3.16,13.66
2020-03-31,35.09,$4.06,8.64
2019-12-31,45.22,$4.58,9.87
2019-09-30,38.74,$4.66,8.31
2019-06-30,39.47,$4.53,8.72
2019-03-31,37.35,$4.40,8.49
2018-12-31,31.17,$4.16,7.49
2018-09-30,35.77,$4.17,8.57
2018-06-30,32.36,$3.90,8.3
2018-03-31,34.41,$3.55,9.7
2017-12-31,36.82,$3.17,11.63
2017-09-30,36.71,$2.60,14.12
2017-06-30,33.39,$2.49,13.39
2017-03-31,33.84,$2.70,12.53
2016-12-31,32.07,$0.99,32.5
2016-09-30,29.12,$1.09,26.63
2016-06-30,25.59,$1.25,20.53
2016-03-31,26.86,$1.17,22.9
2015-12-31,23.17,$3.01,7.71
2015-09-30,24.63,$3.09,7.96
2015-06-30,30.03,$2.98,10.08
2015-03-31,29.61,$2.74,10.81
2014-12-31,31.79,$2.55,12.48
2014-09-30,26.11,$2.39,10.94
2014-06-30,28.74,$2.27,12.64
2014-03-31,30.74,$2.22,13.85
2013-12-31,26.88,$2.15,12.48
2013-09-30,24.81,$2.05,12.08
2013-06-30,23.83,$1.91,12.46
2013-03-31,22.37,$1.92,11.65
2012-12-31,19.92,$2.08,9.58
2012-09-30,17.24,$2.21,7.81
2012-06-30,16.8,$2.28,7.37
2012-03-31,19.98,$2.16,9.25
2011-12-31,15.92,$1.91,8.35
2011-09-30,14.03,$1.61,8.73
2011-06-30,21.1,$1.31,16.07
2011-03-31,21.57,$1.06,20.35
2010-12-31,23.57,$0.83,28.28
2010-09-30,19.64,$0.61,32.02
2010-06-30,16.23,$0.42,38.64
2010-03-31,17.61,$0.29,61.39
2009-12-31,14.7,$0.21,71.08
