Envista Holdings PE Ratio Historical Data,Envista Holdings PE Ratio Historical Data,Envista Holdings PE Ratio Historical Data,Envista Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.27,,0.0
2024-06-30,16.63,$-7.70,0.0
2024-03-31,21.38,$-0.72,0.0
2023-12-31,24.06,$-0.61,0.0
2023-09-30,27.88,$1.08,25.81
2023-06-30,33.84,$1.23,27.51
2023-03-31,40.88,$1.20,34.07
2022-12-31,33.67,$1.37,24.58
2022-09-30,32.81,$1.43,22.94
2022-06-30,38.54,$1.68,22.94
2022-03-31,48.71,$1.93,25.24
2021-12-31,45.06,$1.92,23.47
2021-09-30,41.81,$2.08,20.1
2021-06-30,43.21,$1.78,24.28
2021-03-31,40.8,$0.68,60.0
2020-12-31,33.73,$0.16,210.81
2020-09-30,24.68,$-0.13,0.0
2020-06-30,21.09,$0.13,162.23
