Standex PE Ratio Historical Data,Standex PE Ratio Historical Data,Standex PE Ratio Historical Data,Standex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,181.32,,29.01
2024-06-30,160.86,$6.25,25.74
2024-03-31,181.59,$11.37,15.97
2023-12-31,157.53,$11.73,13.43
2023-06-30,140.47,$11.67,12.04
2023-03-31,121.32,$11.09,10.94
2022-12-31,101.23,$5.90,17.16
2022-09-30,80.49,$5.64,14.27
2022-06-30,83.34,$5.34,15.61
2023-09-30,144.91,$5.54,26.16
2022-03-31,97.95,$5.10,19.21
2021-12-31,108.21,$3.78,28.63
2021-09-30,96.51,$3.48,27.73
2021-06-30,92.37,$2.97,31.1
2021-03-31,92.78,$1.98,46.86
2020-12-31,75.06,$1.36,55.19
2020-09-30,57.14,$1.42,40.24
2020-06-30,55.33,$1.63,33.94
2020-03-31,46.92,$2.47,18.99
2019-12-31,75.71,$5.07,14.93
2019-09-30,69.4,$5.13,13.53
2019-06-30,69.37,$5.37,12.92
2019-03-31,69.42,$5.37,12.93
2018-12-31,63.37,$4.28,14.81
2018-09-30,98.09,$3.01,32.59
2018-06-30,96.0,$2.87,33.45
2018-03-31,89.4,$2.99,29.9
2017-12-31,95.32,$2.59,36.8
2017-09-30,99.21,$3.61,27.48
2017-06-30,84.59,$3.60,23.5
2017-03-31,93.23,$3.44,27.1
2016-12-31,81.65,$3.75,21.77
2016-09-30,86.13,$3.91,22.03
2016-06-30,76.51,$4.07,18.8
2016-03-31,71.92,$4.40,16.35
2015-12-31,76.7,$4.48,17.12
2015-09-30,69.4,$4.39,15.81
2015-06-30,73.49,$4.27,17.21
2015-03-31,75.4,$3.78,19.95
2014-12-31,70.81,$3.83,18.49
2014-09-30,67.85,$3.78,17.95
2014-06-30,68.07,$3.36,20.26
2014-03-31,48.9,$3.55,13.77
2013-12-31,57.28,$3.26,17.57
2013-09-30,54.02,$3.30,16.37
2013-06-30,47.91,$3.51,13.65
2013-03-31,50.08,$3.62,13.83
2012-12-31,46.45,$3.58,12.97
2012-09-30,40.19,$2.40,16.74
2012-06-30,38.42,$2.42,15.88
2012-03-31,37.12,$2.14,17.35
2011-12-31,30.74,$1.83,16.8
2011-09-30,27.96,$2.86,9.77
2011-06-30,27.49,$2.78,9.89
2011-03-31,33.9,$2.63,12.89
2010-12-31,26.71,$2.59,10.31
2010-09-30,21.56,$2.35,9.17
2010-06-30,22.55,$2.27,9.93
2010-03-31,22.88,$2.06,11.11
2009-12-31,17.8,$0.22,80.9
