Under Armour PE Ratio Historical Data,Under Armour PE Ratio Historical Data,Under Armour PE Ratio Historical Data,Under Armour PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.7,,0.0
2024-06-30,6.53,$-0.19,0.0
2024-03-31,7.14,$0.53,13.47
2023-12-31,8.35,$0.89,9.38
2023-09-30,6.38,$0.91,7.01
2023-06-30,6.71,$0.86,7.8
2023-03-31,8.53,$0.86,9.92
2022-12-31,8.92,$0.35,25.49
2022-09-30,5.96,$0.32,18.63
2022-06-30,7.58,$0.26,29.15
2022-03-31,15.56,$0.41,37.95
2021-09-30,17.52,$0.54,32.44
2021-06-30,18.57,$0.39,47.62
2021-03-31,18.46,$-0.14,0.0
2020-12-31,14.88,$-1.61,0.0
2020-09-30,9.84,$-1.38,0.0
2020-06-30,8.84,$-1.51,0.0
2020-03-31,8.06,$-1.06,0.0
2019-09-30,18.13,$0.24,75.54
2019-06-30,22.2,$0.18,123.33
2019-03-31,18.87,$0.01,1887.0
2018-12-31,16.17,$-0.11,0.0
2018-09-30,19.46,$0.01,1946.0
2018-06-30,21.08,$-0.19,0.0
2018-03-31,14.35,$0.01,0.0
2017-09-30,15.02,$0.08,187.75
2017-06-30,20.16,$0.25,80.64
2017-03-31,18.3,$0.43,42.56
2016-12-31,25.17,$0.44,57.2
2016-09-30,33.86,$0.44,76.95
2016-06-30,36.4,$0.15,242.67
