Mirion Technologies PE Ratio Historical Data,Mirion Technologies PE Ratio Historical Data,Mirion Technologies PE Ratio Historical Data,Mirion Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.3,,0.0
2024-06-30,10.74,$-0.33,0.0
2024-03-31,11.37,$-0.41,0.0
2023-12-31,10.25,$-0.50,0.0
2023-09-30,7.47,$-1.27,0.0
2023-06-30,8.45,$-1.47,0.0
2023-03-31,8.54,$-1.65,0.0
2022-12-31,6.61,$-1.53,0.0
2022-09-30,7.47,$-0.68,0.0
2022-06-30,5.76,$-7.43,0.0
2022-03-31,8.07,$-7.11,0.0
2021-12-31,10.47,$-7.01,0.0
2021-09-30,10.22,$-7.01,0.0
2021-06-30,10.4,0,0.0
