Wix PE Ratio Historical Data,Wix PE Ratio Historical Data,Wix PE Ratio Historical Data,Wix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,177.24,,140.67
2024-06-30,159.07,$1.26,126.25
2024-03-31,137.48,$1.14,120.6
2023-12-31,123.02,$0.55,223.67
2023-09-30,91.8,$-0.17,0.0
2023-06-30,78.24,$-1.10,0.0
2023-03-31,99.8,$-3.58,0.0
2022-12-31,76.83,$-7.35,0.0
2022-09-30,78.23,$-8.62,0.0
2022-06-30,65.55,$-7.53,0.0
2022-03-31,104.46,$-5.01,0.0
2021-12-31,157.79,$-3.22,0.0
2021-09-30,195.97,$-2.41,0.0
2021-06-30,290.28,$-3.72,0.0
2021-03-31,279.22,$-5.38,0.0
2020-12-31,249.96,$-3.98,0.0
2020-09-30,254.85,$-3.27,0.0
2020-06-30,256.22,$-2.58,0.0
2020-03-31,100.82,$-1.85,0.0
2019-12-31,122.38,$-1.71,0.0
2019-09-30,116.74,$-1.41,0.0
2019-06-30,142.1,$-1.19,0.0
2019-03-31,120.83,$-0.98,0.0
2018-12-31,90.34,$-0.78,0.0
2018-09-30,119.7,$-0.80,0.0
2018-06-30,100.3,$-1.00,0.0
2018-03-31,79.55,$-1.19,0.0
2017-12-31,57.55,$-1.24,0.0
2017-09-30,71.85,$-1.24,0.0
2017-06-30,69.6,$-1.15,0.0
2017-03-31,67.9,$-1.12,0.0
2016-12-31,44.55,$-1.14,0.0
2016-09-30,43.43,$-1.28,0.0
2016-06-30,30.35,$-1.35,0.0
2016-03-31,20.27,$-1.38,0.0
2015-12-31,22.75,$-1.23,0.0
2015-09-30,17.42,$-1.32,0.0
2015-06-30,23.62,$-1.42,0.0
2014-09-30,16.25,$-1.56,0.0
2014-06-30,19.84,$-1.63,0.0
2014-03-31,22.97,$-1.65,0.0
