ExlService Holdings PE Ratio Historical Data,ExlService Holdings PE Ratio Historical Data,ExlService Holdings PE Ratio Historical Data,ExlService Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,40.47,,37.82
2024-06-30,31.36,$1.07,29.31
2024-03-31,31.8,$1.08,29.39
2023-12-31,30.85,$1.09,28.2
2023-09-30,28.04,$1.04,26.91
2023-06-30,30.21,$1.01,29.79
2023-03-31,32.37,$0.93,34.65
2022-12-31,33.89,$0.85,40.05
2022-09-30,29.47,$0.82,35.77
2022-06-30,29.47,$0.75,39.5
2022-03-31,28.65,$0.70,41.17
2021-12-31,28.95,$0.67,43.34
2021-09-30,24.62,$0.69,35.69
2021-06-30,21.25,$0.69,30.89
2021-03-31,18.03,$0.57,31.41
2020-12-31,17.03,$0.52,32.87
2020-09-30,13.19,$0.45,29.06
2020-06-30,12.68,$0.41,30.78
2020-03-31,10.41,$0.44,23.87
2019-12-31,13.89,$0.39,35.62
2019-09-30,13.39,$0.29,46.5
2019-06-30,13.23,$0.26,50.1
2019-03-31,12.0,$0.27,43.81
2018-12-31,10.52,$0.32,32.68
2018-09-30,13.24,$0.25,53.82
2018-06-30,11.32,$0.28,40.44
2018-03-31,11.15,$0.31,35.52
2017-12-31,12.07,$0.28,43.42
2017-09-30,11.66,$0.42,27.64
2017-06-30,11.12,$0.39,28.21
2017-03-31,9.47,$0.37,25.46
2016-12-31,10.09,$0.36,28.34
2016-09-30,9.97,$0.35,28.32
2016-06-30,10.48,$0.35,30.12
2016-03-31,10.36,$0.32,31.98
2015-12-31,8.99,$0.30,29.95
2015-09-30,7.39,$0.26,28.63
2015-06-30,6.92,$0.21,33.57
2015-03-31,7.44,$0.18,40.88
2014-12-31,5.74,$0.22,26.1
2014-09-30,4.88,$0.25,19.22
2014-06-30,5.89,$0.27,21.65
2013-12-31,5.52,$0.28,19.45
2013-09-30,5.7,$0.26,21.74
2013-06-30,5.91,$0.25,23.65
2013-03-31,6.58,$0.27,24.72
2012-12-31,5.3,$0.26,20.23
2014-03-31,6.18,$0.24,25.34
2012-09-30,5.9,$0.24,25.0
2012-06-30,4.93,$0.22,22.4
2012-03-31,5.49,$0.22,24.95
2011-12-31,4.47,$0.22,20.34
2011-09-30,4.4,$0.22,20.37
2011-06-30,4.62,$0.21,21.59
2011-03-31,4.23,$0.19,22.03
2010-12-31,4.3,$0.18,24.41
2010-09-30,3.89,$0.17,22.62
2010-06-30,3.43,$0.15,23.2
2010-03-31,3.34,$0.12,26.9
2009-12-31,3.63,$0.11,34.25
