Brighthouse Financial PE Ratio Historical Data,Brighthouse Financial PE Ratio Historical Data,Brighthouse Financial PE Ratio Historical Data,Brighthouse Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,48.91,,0.0
2024-06-30,43.34,$-15.91,0.0
2024-03-31,51.54,$-23.75,0.0
2023-12-31,52.92,$-29.54,0.0
2023-09-30,48.94,$-24.60,0.0
2023-03-31,44.11,$-18.72,0.0
2022-12-31,51.27,$-3.09,0.0
2022-09-30,43.42,$11.43,3.8
2022-06-30,41.02,$14.23,2.88
2022-03-31,51.66,$-10.23,0.0
2021-12-31,51.8,$-50.63,0.0
2021-03-31,44.25,$-72.24,0.0
2020-12-31,36.21,$-18.17,0.0
2020-09-30,26.91,$-16.50,0.0
2020-06-30,27.82,$9.68,2.87
2020-03-31,24.17,$42.92,0.56
2019-12-31,39.23,$-6.45,0.0
2019-03-31,36.29,$1.56,23.26
2018-12-31,30.48,$7.31,4.17
2018-09-30,44.24,$0.75,58.99
2018-06-30,40.07,$9.07,4.42
2018-03-31,51.4,$14.35,3.58
2017-12-31,58.64,$7.04,8.33
2019-09-30,40.47,$5.80,6.98
2019-06-30,36.69,$-3.27,0.0
2017-09-30,60.8,$-6.43,0.0
