Rexford Industrial Realty PE Ratio Historical Data,Rexford Industrial Realty PE Ratio Historical Data,Rexford Industrial Realty PE Ratio Historical Data,Rexford Industrial Realty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,44.93,,48.31
2024-09-30,50.31,$0.93,54.1
2024-06-30,44.22,$1.20,36.85
2024-03-31,49.42,$1.09,45.34
2023-12-31,54.66,$1.12,48.81
2023-09-30,47.77,$1.05,45.49
2023-06-30,50.16,$0.99,50.67
2023-03-31,56.88,$0.95,59.87
2022-12-31,51.76,$0.92,56.27
2022-09-30,48.98,$0.93,52.67
2022-06-30,53.91,$0.95,56.75
2022-03-31,69.45,$0.88,78.92
2021-12-31,75.21,$0.80,94.01
2021-09-30,52.46,$0.67,78.3
2021-06-30,52.43,$0.65,80.66
2021-03-31,46.21,$0.60,77.01
2020-12-31,44.81,$0.50,89.63
2020-09-30,41.57,$0.58,71.68
2020-06-30,37.46,$0.46,81.44
2020-03-31,36.89,$0.48,76.86
2019-12-31,40.87,$0.47,86.96
2019-09-30,39.23,$0.42,93.41
2019-06-30,35.83,$0.40,89.57
2019-03-31,31.64,$0.34,93.05
2018-12-31,25.9,$0.41,63.18
2018-09-30,27.94,$0.43,64.97
2018-06-30,27.3,$0.37,73.79
2018-03-31,24.91,$0.57,43.71
2017-12-31,25.09,$0.48,52.28
2017-09-30,24.51,$0.43,57.0
2017-06-30,23.38,$0.45,51.95
2017-03-31,19.09,$0.38,50.23
2016-12-31,19.53,$0.34,57.43
2016-09-30,19.16,$0.26,73.69
2016-06-30,17.55,$0.24,73.13
2016-03-31,15.01,$0.05,300.27
2015-12-31,13.43,$0.03,447.52
2015-09-30,11.23,$0.01,1122.52
2015-06-30,11.75,$-0.02,0.0
2015-03-31,12.64,$-0.02,0.0
2014-12-31,12.46,$0.03,415.43
2014-09-30,10.9,$0.03,363.24
2014-06-30,11.12,$0.05,222.34
