Bright Horizons Family Solutions PE Ratio Historical Data,Bright Horizons Family Solutions PE Ratio Historical Data,Bright Horizons Family Solutions PE Ratio Historical Data,Bright Horizons Family Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,131.67,,75.67
2024-06-30,110.08,$1.74,63.26
2024-03-31,113.36,$1.38,82.14
2023-12-31,94.24,$1.40,67.31
2023-09-30,81.46,$1.73,47.09
2022-12-31,63.1,$1.37,46.06
2022-09-30,57.65,$1.35,42.7
2022-06-30,84.52,$1.39,60.81
2022-03-31,132.69,$1.41,94.11
2021-12-31,125.88,$1.39,90.56
2023-06-30,92.45,$1.22,75.78
2021-09-30,139.42,$0.91,153.21
2021-06-30,147.11,$0.36,408.64
2021-03-31,171.45,$0.19,902.37
2020-12-31,172.99,$0.08,2162.38
2020-09-30,152.04,$0.56,271.5
2023-03-31,76.99,$1.48,52.02
2020-06-30,117.2,$2.03,57.73
2020-03-31,102.0,$2.85,35.79
2019-12-31,150.29,$3.12,48.17
2019-09-30,152.5,$2.88,52.95
2019-06-30,150.87,$2.87,52.57
2018-12-31,111.45,$2.66,41.9
2018-09-30,117.84,$2.73,43.16
2018-06-30,102.52,$2.87,35.72
2018-03-31,99.72,$2.70,36.93
2017-12-31,94.0,$2.62,35.88
2019-03-31,127.11,$2.44,52.09
2017-09-30,86.21,$2.01,42.89
2017-06-30,77.21,$1.87,41.29
2017-03-31,72.49,$1.83,39.61
2016-12-31,70.02,$1.55,45.17
2016-09-30,66.89,$1.66,40.3
2016-06-30,66.31,$1.62,40.93
2016-03-31,64.78,$1.55,41.79
2015-12-31,66.8,$1.50,44.53
2015-09-30,64.24,$1.39,46.22
2015-06-30,57.8,$1.29,44.81
2015-03-31,51.27,$1.18,43.45
2014-12-31,47.01,$1.07,43.93
2014-09-30,42.06,$1.14,36.89
2014-06-30,42.94,$1.14,37.67
2014-03-31,39.11,$1.19,32.87
2013-12-31,36.74,$0.04,918.5
