Vir Biotechnology PE Ratio Historical Data,Vir Biotechnology PE Ratio Historical Data,Vir Biotechnology PE Ratio Historical Data,Vir Biotechnology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.72,,0.0
2024-06-30,8.9,$-3.58,0.0
2024-03-31,10.13,$-4.01,0.0
2023-12-31,10.06,$-4.59,0.0
2023-09-30,9.37,$-4.49,0.0
2023-06-30,24.53,$-1.97,0.0
2023-03-31,23.27,$-1.10,0.0
2022-12-31,25.31,$3.81,6.64
2022-09-30,19.28,$8.49,2.27
2022-06-30,25.47,$8.01,3.18
2022-03-31,25.72,$9.05,2.84
2021-12-31,41.87,$3.88,10.79
2021-09-30,43.52,$-0.87,0.0
2021-06-30,47.28,$-2.36,0.0
2021-03-31,51.27,$-3.09,0.0
2020-12-31,26.78,$-2.48,0.0
2020-09-30,34.33,$-2.36,0.0
