Zuora PE Ratio Historical Data,Zuora PE Ratio Historical Data,Zuora PE Ratio Historical Data,Zuora PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.96,,0.0
2024-07-31,9.07,$-0.32,0.0
2024-04-30,9.86,$-0.43,0.0
2024-01-31,9.14,$-0.48,0.0
2023-10-31,7.41,$-0.58,0.0
2023-07-31,11.73,$-0.82,0.0
2023-04-30,7.79,$-0.89,0.0
2023-01-31,7.92,$-0.93,0.0
2022-10-31,7.69,$-0.97,0.0
2022-07-31,8.51,$-0.87,0.0
2022-04-30,12.17,$-0.83,0.0
2022-01-31,16.63,$-0.80,0.0
2021-10-31,21.86,$-0.68,0.0
2021-07-31,17.29,$-0.64,0.0
2021-04-30,16.2,$-0.62,0.0
2021-01-31,14.75,$-0.62,0.0
2020-10-31,9.62,$-0.67,0.0
2020-07-31,11.64,$-0.69,0.0
2020-04-30,10.57,$-0.71,0.0
2020-01-31,14.75,$-0.75,0.0
2019-10-31,14.25,$-0.73,0.0
2019-07-31,15.01,$-0.74,0.0
2019-04-30,22.1,$-0.74,0.0
2019-01-31,21.64,$-0.98,0.0
