Hello Group PE Ratio Historical Data,Hello Group PE Ratio Historical Data,Hello Group PE Ratio Historical Data,Hello Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.51,,6.51
2024-06-30,6.12,$1.00,6.12
2024-03-31,5.66,$1.10,5.14
2023-12-31,6.33,$1.38,4.59
2023-09-30,6.36,$1.35,4.71
2023-06-30,8.76,$1.28,6.84
2023-03-31,7.59,$1.15,6.6
2022-12-31,7.49,$1.09,6.87
2022-09-30,3.85,$-2.58,0.0
2022-06-30,4.21,$-2.59,0.0
2022-03-31,4.28,$-2.51,0.0
2021-12-31,6.65,$-2.40,0.0
2021-09-30,7.84,$1.43,5.48
2021-06-30,11.34,$1.44,7.87
2021-03-31,10.47,$1.40,7.48
2020-12-31,9.91,$1.41,7.03
2020-09-30,9.77,$1.63,5.99
2020-06-30,12.41,$1.89,6.57
2020-03-31,14.9,$2.07,7.2
2019-12-31,23.01,$1.93,11.92
2019-09-30,21.28,$1.69,12.59
2019-06-30,24.59,$1.51,16.28
2019-03-31,25.86,$1.59,16.26
2018-12-31,16.06,$2.02,7.95
2018-09-30,29.62,$2.05,14.45
2018-06-30,29.42,$2.04,14.42
2018-03-31,25.28,$1.77,14.28
2017-12-31,16.55,$1.54,10.75
2017-09-30,21.19,$1.48,14.32
2017-06-30,24.99,$1.29,19.38
2017-03-31,23.04,$1.08,21.33
2016-12-31,12.43,$0.71,17.51
2016-09-30,15.22,$0.33,46.11
2016-06-30,6.84,$0.14,48.83
2016-03-31,7.6,$0.07,108.58
2015-12-31,10.83,$0.08,135.42
2015-09-30,8.45,$-0.15,0.0
