Federated Hermes PE Ratio Historical Data,Federated Hermes PE Ratio Historical Data,Federated Hermes PE Ratio Historical Data,Federated Hermes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,38.4,,13.2
2024-06-30,32.57,$2.91,11.19
2024-03-31,34.38,$3.52,9.77
2023-12-31,31.97,$3.41,9.38
2023-09-30,31.71,$3.08,10.3
2023-06-30,33.28,$3.00,11.09
2023-03-31,37.0,$2.83,13.07
2022-12-31,33.24,$2.66,12.5
2022-09-30,30.09,$2.74,10.98
2022-06-30,28.66,$2.69,10.65
2022-03-31,30.42,$2.61,11.66
2021-12-31,33.3,$2.75,12.11
2021-09-30,28.57,$2.97,9.62
2021-06-30,29.56,$3.09,9.57
2021-03-31,27.06,$3.33,8.13
2020-12-31,24.74,$3.21,7.71
2020-09-30,17.5,$3.09,5.66
2020-06-30,19.08,$2.96,6.45
2020-03-31,15.15,$2.78,5.45
2019-12-31,25.74,$2.69,9.57
2019-09-30,25.39,$2.49,10.2
2019-06-30,25.46,$2.36,10.79
2019-03-31,22.77,$2.12,10.74
2018-12-31,20.42,$2.18,9.37
2018-09-30,18.35,$2.88,6.37
2018-06-30,17.54,$2.85,6.16
2018-03-31,24.85,$3.00,8.28
2017-12-31,26.65,$2.89,9.22
2017-09-30,21.76,$2.10,10.36
2017-06-30,20.51,$2.08,9.86
2017-03-31,18.94,$2.08,9.11
2016-12-31,20.14,$2.03,9.92
2016-09-30,20.1,$1.97,10.2
2016-06-30,19.37,$1.85,10.47
2016-03-31,19.25,$1.72,11.19
2015-12-31,18.92,$1.63,11.61
2015-09-30,18.93,$1.56,12.14
2015-06-30,21.78,$1.50,14.52
2015-03-31,21.88,$1.45,15.09
2014-12-31,21.1,$1.44,14.65
2014-09-30,18.66,$1.44,12.96
2014-06-30,19.48,$1.44,13.53
2014-03-31,19.07,$1.48,12.88
2013-12-31,17.81,$1.55,11.49
2013-09-30,16.64,$1.60,10.4
2013-06-30,16.65,$1.78,9.36
2013-03-31,14.23,$1.78,7.99
2012-12-31,12.04,$1.78,6.77
2012-09-30,11.35,$1.70,6.68
2012-06-30,11.85,$1.53,7.74
2012-03-31,12.02,$1.55,7.75
2011-12-31,8.02,$1.46,5.49
2011-09-30,9.17,$1.55,5.91
2011-06-30,12.32,$1.60,7.7
2011-03-31,13.69,$1.65,8.3
2010-12-31,13.28,$1.71,7.76
2010-09-30,11.44,$1.77,6.46
2010-06-30,10.29,$1.91,5.39
2010-03-31,12.98,$1.97,6.59
2009-12-31,12.75,$1.93,6.61
