NextEra Energy PE Ratio Historical Data,NextEra Energy PE Ratio Historical Data,NextEra Energy PE Ratio Historical Data,NextEra Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,80.51,,26.14
2024-06-30,70.36,$3.08,22.84
2024-03-31,63.5,$3.67,17.3
2023-12-31,59.8,$3.61,16.56
2023-09-30,55.94,$3.78,14.8
2023-06-30,71.96,$4.04,17.81
2023-03-31,74.28,$3.36,22.11
2022-12-31,80.04,$2.09,38.3
2022-09-30,74.7,$1.94,38.51
2022-06-30,73.44,$1.31,56.06
2022-03-31,79.87,$0.74,107.94
2021-12-31,87.55,$1.81,48.37
2021-09-30,73.31,$1.20,61.09
2021-06-30,68.11,$1.60,42.7
2021-03-31,69.9,$2.11,33.09
2020-12-31,70.95,$1.49,47.7
2020-09-30,63.52,$1.99,32.0
2020-06-30,54.69,$1.81,30.18
2020-03-31,54.5,$1.81,30.19
2019-12-31,54.55,$1.94,28.08
2019-09-30,52.2,$1.67,31.35
2019-06-30,45.64,$1.74,26.23
2019-03-31,42.8,$1.51,28.34
2018-12-31,38.23,$3.49,10.96
2018-09-30,36.86,$4.41,8.37
2018-06-30,36.5,$4.33,8.44
2018-03-31,35.44,$4.34,8.18
2017-12-31,33.65,$2.85,11.82
2017-09-30,31.38,$2.23,14.1
2017-06-30,29.81,$2.18,13.66
2017-03-31,27.12,$2.05,13.21
2016-12-31,25.05,$1.55,16.13
2016-09-30,25.45,$1.31,19.39
2016-06-30,26.94,$1.39,19.38
2016-03-31,24.27,$1.50,16.21
2015-12-31,21.15,$1.52,13.94
2015-09-30,19.71,$1.74,11.31
2015-06-30,19.65,$1.64,12.02
2015-03-31,20.7,$1.52,13.64
2014-12-31,20.99,$1.40,15.0
2014-09-30,18.41,$1.09,16.93
2014-06-30,19.95,$1.12,17.77
2014-03-31,18.48,$1.20,15.36
2013-12-31,16.41,$1.12,14.69
2013-09-30,15.25,$1.19,12.87
2013-06-30,15.37,$1.02,15.07
2013-03-31,14.53,$1.02,14.21
2012-12-31,12.82,$1.14,11.25
2012-09-30,12.92,$1.28,10.07
2012-06-30,12.53,$1.28,9.79
2012-03-31,11.02,$1.26,8.73
2011-12-31,10.88,$1.15,9.5
2011-09-30,9.55,$0.91,10.55
2011-06-30,10.06,$1.10,9.17
2011-03-31,9.56,$1.01,9.51
2010-12-31,8.92,$1.19,7.53
2010-09-30,9.25,$1.24,7.46
2010-06-30,8.21,$1.13,7.25
2010-03-31,8.06,$1.11,7.28
2009-12-31,8.71,$0.99,8.78
