Teradata PE Ratio Historical Data,Teradata PE Ratio Historical Data,Teradata PE Ratio Historical Data,Teradata PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.34,,51.33
2024-06-30,34.56,$0.63,54.86
2024-03-31,38.67,$0.42,92.07
2023-12-31,43.51,$0.61,71.33
2023-09-30,45.02,$0.61,73.8
2023-06-30,53.41,$0.57,93.7
2023-03-31,40.28,$0.36,111.89
2022-12-31,33.66,$0.30,112.2
2022-09-30,31.06,$0.66,47.06
2022-06-30,37.01,$0.73,50.7
2022-03-31,49.29,$1.16,42.49
2021-12-31,42.47,$1.30,32.67
2021-09-30,57.35,$1.05,54.62
2021-06-30,49.97,$0.89,56.15
2021-03-31,38.54,$0.10,385.4
2020-12-31,22.47,$1.14,19.71
2020-09-30,22.7,$0.89,25.51
2020-06-30,20.8,$0.99,21.01
2020-03-31,20.49,$1.38,14.85
2019-12-31,26.77,$-0.22,0.0
2019-09-30,31.0,$0.12,258.33
2019-06-30,35.85,$0.18,199.17
2019-03-31,43.65,$0.22,198.41
2018-12-31,38.36,$0.25,153.44
2018-09-30,37.71,$-0.49,0.0
2018-06-30,40.15,$-0.54,0.0
2018-03-31,39.67,$-0.60,0.0
2017-12-31,38.46,$-0.56,0.0
2017-09-30,33.79,$0.49,68.96
2017-06-30,29.49,$0.76,38.8
2017-03-31,31.12,$1.28,24.31
2016-12-31,27.17,$0.94,28.9
2016-09-30,31.0,$0.81,38.27
2016-06-30,25.07,$0.99,25.32
2016-03-31,26.24,$-1.37,0.0
2015-12-31,26.42,$-0.86,0.0
2015-09-30,28.96,$-0.40,0.0
2015-06-30,37.0,$-0.35,0.0
2015-03-31,44.14,$2.12,20.82
2014-12-31,43.68,$2.34,18.67
2014-09-30,41.92,$2.25,18.63
2014-06-30,40.2,$2.24,17.95
2014-03-31,49.19,$2.29,21.48
2013-12-31,45.49,$2.27,20.04
2013-09-30,55.44,$2.25,24.64
2013-06-30,50.23,$2.26,22.23
2013-03-31,58.51,$2.26,25.89
2012-12-31,61.89,$2.44,25.36
2012-09-30,75.41,$2.35,32.09
2012-06-30,72.01,$2.26,31.86
2012-03-31,68.15,$2.21,30.84
2011-12-31,48.51,$2.06,23.55
2011-09-30,53.53,$1.99,26.9
2011-06-30,60.2,$1.92,31.35
2011-03-31,50.7,$1.76,28.81
2010-12-31,41.16,$1.77,23.25
2010-09-30,38.56,$1.75,22.03
2010-06-30,30.48,$1.67,18.25
2010-03-31,28.89,$1.59,18.17
2009-12-31,31.43,$1.46,21.53
