Willis Lease Finance PE Ratio Historical Data,Willis Lease Finance PE Ratio Historical Data,Willis Lease Finance PE Ratio Historical Data,Willis Lease Finance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,196.85,,15.3
2024-06-30,69.11,$12.87,5.37
2024-03-31,48.75,$8.68,5.62
2023-12-31,48.02,$6.23,7.71
2023-09-30,41.56,$6.82,6.09
2023-06-30,38.44,$5.58,6.89
2023-03-31,53.82,$4.37,12.32
2022-12-31,57.97,$0.12,483.11
2022-09-30,32.17,$-1.86,0.0
2022-06-30,36.82,$-2.43,0.0
2022-03-31,31.62,$-3.36,0.0
2021-12-31,36.99,$-0.02,0.0
2021-09-30,36.54,$-0.78,0.0
2021-06-30,42.11,$-0.75,0.0
2021-03-31,42.7,$0.11,388.15
2020-12-31,29.93,$1.15,26.02
2020-09-30,18.13,$5.58,3.25
2020-06-30,23.85,$7.89,3.02
2019-12-31,57.88,$10.50,5.51
2019-09-30,54.41,$12.73,4.27
2019-06-30,57.3,$9.48,6.04
2019-03-31,41.65,$8.29,5.02
2018-12-31,33.99,$6.20,5.48
2020-03-31,26.13,$4.29,6.09
2018-09-30,33.9,$10.48,3.24
2018-06-30,31.04,$9.81,3.16
2018-03-31,33.68,$9.47,3.56
2017-12-31,24.53,$9.73,2.52
2017-09-30,24.16,$3.37,7.17
2017-06-30,26.26,$3.19,8.23
2017-03-31,21.96,$2.76,7.96
2016-12-31,25.13,$2.02,12.44
2016-09-30,23.35,$2.01,11.62
2016-06-30,21.84,$1.71,12.77
2016-03-31,21.21,$1.16,18.29
2015-12-31,19.75,$0.93,21.23
2015-09-30,15.97,$0.52,30.72
2015-06-30,18.05,$0.32,56.4
2015-03-31,18.25,$0.65,28.08
2014-12-31,21.52,$0.89,24.17
2014-09-30,20.16,$1.73,11.65
2014-06-30,24.09,$1.34,17.98
2014-03-31,20.11,$2.24,8.98
2013-12-31,17.06,$1.62,10.53
2013-09-30,15.45,$-0.09,0.0
2013-06-30,13.27,$0.46,28.85
2012-12-31,14.06,$-0.42,0.0
2012-09-30,12.12,0,0.0
2012-06-30,12.1,$1.09,11.1
2012-03-31,12.78,$0.98,13.04
2011-12-31,11.74,$1.00,11.74
2013-03-31,14.85,$1.14,13.03
2011-09-30,11.09,$1.30,8.53
2011-06-30,13.16,$1.38,9.54
2011-03-31,12.42,$1.19,10.44
2010-12-31,12.8,$0.96,13.33
2010-09-30,9.88,$0.64,15.44
2010-06-30,9.06,$1.33,6.81
2010-03-31,15.5,$1.68,9.23
2009-12-31,14.74,$2.16,6.82
