Pediatrix Medical PE Ratio Historical Data,Pediatrix Medical PE Ratio Historical Data,Pediatrix Medical PE Ratio Historical Data,Pediatrix Medical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.67,,0.0
2024-06-30,7.55,$-3.03,0.0
2024-03-31,10.03,$-0.85,0.0
2023-12-31,9.3,$-0.73,0.0
2023-09-30,12.71,$1.13,11.25
2023-06-30,14.21,$1.24,11.46
2023-03-31,14.91,$1.22,12.22
2022-12-31,14.86,$0.80,18.58
2022-09-30,16.51,$0.99,16.68
2022-06-30,21.01,$0.98,21.44
2022-03-31,23.48,$1.07,21.94
2021-12-31,27.21,$1.53,17.78
2021-09-30,28.43,$0.22,129.23
2021-06-30,30.15,$-0.63,0.0
2021-03-31,25.47,$-9.07,0.0
2020-12-31,24.54,$-9.51,0.0
2020-09-30,16.28,$-8.64,0.0
2020-06-30,17.1,$-23.39,0.0
2020-03-31,11.64,$-15.46,0.0
2019-12-31,27.79,$-18.04,0.0
2019-09-30,22.62,$-17.47,0.0
2019-06-30,25.23,$-1.51,0.0
2019-03-31,27.17,$-0.56,0.0
2018-12-31,33.0,$2.93,11.26
2018-09-30,46.66,$3.71,12.58
2018-06-30,43.28,$3.70,11.7
2018-03-31,55.63,$3.54,15.71
2017-12-31,53.44,$3.45,15.49
2017-09-30,43.12,$2.83,15.24
2017-06-30,60.37,$3.16,19.1
2017-03-31,69.38,$3.36,20.65
2016-12-31,66.66,$3.50,19.05
2016-09-30,66.25,$3.65,18.15
2016-06-30,72.43,$3.58,20.23
2016-03-31,64.62,$3.59,18.0
2015-12-31,71.66,$3.58,20.02
2015-09-30,76.79,$3.48,22.07
2015-06-30,74.11,$3.37,21.99
2015-03-31,72.51,$3.26,22.24
2014-12-31,66.11,$3.17,20.85
2014-09-30,54.82,$3.06,17.92
2014-06-30,58.15,$2.96,19.65
2014-03-31,61.98,$2.86,21.71
2013-12-31,53.38,$2.78,19.24
2013-09-30,50.2,$2.66,18.91
2013-06-30,45.79,$2.56,17.92
2013-03-31,44.82,$2.48,18.07
2012-12-31,39.76,$2.42,16.43
2012-09-30,37.23,$2.36,15.81
2012-06-30,34.27,$2.29,14.97
2012-03-31,37.19,$2.26,16.49
2011-12-31,36.01,$2.24,16.11
2011-09-30,31.32,$2.20,14.24
2011-06-30,36.1,$2.25,16.04
2011-03-31,33.31,$2.20,15.17
2010-12-31,33.65,$2.13,15.8
2010-09-30,26.65,$2.11,12.66
2010-06-30,27.81,$1.98,14.08
2010-03-31,29.1,$1.92,15.15
2009-12-31,30.06,$1.89,15.94
