Permian Resources PE Ratio Historical Data,Permian Resources PE Ratio Historical Data,Permian Resources PE Ratio Historical Data,Permian Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.21,,11.37
2024-06-30,15.92,$1.25,12.74
2024-03-31,17.2,$1.10,15.64
2023-12-31,13.12,$1.16,11.31
2023-09-30,13.35,$0.91,14.67
2023-06-30,10.4,$1.48,7.02
2023-03-31,9.86,$1.87,5.27
2022-12-31,8.79,$1.61,5.46
2022-09-30,6.33,$1.86,3.4
2022-06-30,5.56,$1.28,4.35
2022-03-31,7.51,$0.59,12.73
2021-12-31,5.56,$0.42,13.25
2021-09-30,6.23,$-0.41,0.0
2021-06-30,6.31,$-0.72,0.0
2021-03-31,3.91,$-0.61,0.0
2020-12-31,1.4,$-2.48,0.0
2020-09-30,0.56,$-2.13,0.0
2020-06-30,0.83,$-1.95,0.0
2020-03-31,0.24,$-1.90,0.0
2019-12-31,4.3,$0.06,71.64
2019-09-30,4.2,$0.15,28.0
2019-06-30,7.06,$0.31,22.78
2019-03-31,8.18,$0.48,17.04
2018-12-31,10.25,$0.76,13.49
2018-09-30,20.33,$0.76,26.75
2018-06-30,16.8,$0.67,25.08
2018-03-31,17.07,$0.52,32.83
2017-12-31,18.42,$0.31,59.42
2017-09-30,16.72,$0.19,87.99
2017-06-30,14.72,$0.09,163.53
2017-03-31,16.96,0,0.0
