Alliance Resource Partners PE Ratio Historical Data,Alliance Resource Partners PE Ratio Historical Data,Alliance Resource Partners PE Ratio Historical Data,Alliance Resource Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.97,,6.18
2024-06-30,23.73,$4.04,5.87
2024-03-31,18.86,$4.57,4.13
2023-12-31,19.24,$4.81,4.0
2023-09-30,19.85,$5.56,3.57
2023-06-30,15.73,$5.63,2.79
2023-03-31,16.57,$5.56,2.98
2022-12-31,16.17,$4.39,3.68
2022-09-30,17.85,$3.16,5.65
2022-06-30,13.96,$2.35,5.94
2022-03-31,11.61,$1.46,7.95
2021-12-31,9.34,$1.37,6.81
2021-09-30,7.89,$1.24,6.36
2021-06-30,5.17,$1.01,5.12
2021-03-31,4.09,$0.30,13.62
2020-12-31,3.16,$0.31,10.18
2020-09-30,1.95,$0.34,5.74
2020-06-30,2.3,$0.57,4.03
2019-12-31,7.3,$3.06,2.39
2019-09-30,10.34,$3.24,3.19
2019-06-30,10.62,$1.80,5.9
2019-03-31,12.38,$1.91,6.48
2018-12-31,10.26,$0.43,23.85
2020-03-31,2.18,$1.21,1.81
2018-09-30,11.75,$2.90,4.05
2018-06-30,10.3,$2.87,3.59
2018-03-31,9.63,$3.33,2.89
2017-12-31,10.47,$3.47,3.02
2017-09-30,10.02,$3.83,2.62
2017-03-31,10.71,$4.15,2.58
2016-12-31,10.91,$3.41,3.2
2016-09-30,10.58,$1.92,5.51
2016-06-30,7.35,$1.62,4.54
2016-03-31,5.27,$1.54,3.43
2015-12-31,5.82,$2.10,2.77
2015-09-30,9.31,$3.47,2.68
2015-06-30,10.15,$3.68,2.76
2015-03-31,13.32,$4.05,3.29
2014-12-31,16.87,$4.50,3.75
2017-06-30,9.53,$4.42,2.16
2014-09-30,16.56,$4.53,3.66
2014-06-30,17.8,$4.15,4.29
2014-03-31,15.84,$3.76,4.22
2013-12-31,14.29,$3.63,3.94
2013-09-30,13.54,$3.64,3.72
2013-06-30,12.71,$3.34,3.81
2013-03-31,11.27,$3.27,3.45
2012-12-31,10.1,$3.07,3.3
2012-09-30,10.25,$3.10,3.31
2012-06-30,9.43,$3.73,2.53
2012-03-31,9.94,$3.84,2.59
2011-12-31,12.34,$4.06,3.04
2011-09-30,10.57,$4.01,2.64
2011-06-30,12.33,$3.67,3.36
2011-03-31,12.81,$3.56,3.6
2010-12-31,10.22,$3.34,3.06
2010-09-30,8.94,$2.78,3.22
2010-06-30,6.79,$2.33,2.92
2010-03-31,6.22,$1.78,3.5
2009-12-31,6.32,$1.78,3.56
