First Industrial Realty Trust PE Ratio Historical Data,First Industrial Realty Trust PE Ratio Historical Data,First Industrial Realty Trust PE Ratio Historical Data,First Industrial Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,54.69,,34.61
2024-09-30,55.98,$1.58,35.43
2024-06-30,47.2,$2.15,21.95
2024-03-31,51.79,$2.17,23.87
2023-12-31,51.55,$2.07,24.91
2023-09-30,46.3,$2.02,22.92
2023-06-30,50.87,$2.39,21.29
2023-03-31,51.1,$2.86,17.87
2022-12-31,46.07,$2.71,17.0
2022-09-30,42.52,$2.96,14.37
2022-06-30,44.76,$2.35,19.05
2022-03-31,58.0,$1.87,31.02
2021-12-31,61.73,$2.08,29.68
2021-09-30,48.37,$1.86,26.0
2021-06-30,48.26,$1.81,26.66
2021-03-31,42.09,$1.69,24.91
2020-12-31,38.5,$1.53,25.17
2020-09-30,36.16,$1.64,22.05
2020-06-30,34.71,$1.98,17.53
2020-03-31,29.81,$2.01,14.83
2019-12-31,36.96,$2.09,17.68
2019-09-30,35.03,$1.57,22.31
2019-06-30,32.34,$1.31,24.69
2018-12-31,25.08,$1.30,19.29
2018-09-30,27.08,$1.71,15.84
2018-06-30,28.55,$1.66,17.2
2018-03-31,24.87,$1.66,14.98
2017-12-31,26.58,$1.68,15.82
2019-03-31,30.93,$1.06,29.18
2017-09-30,25.25,$1.07,23.59
2017-06-30,23.85,$0.98,24.33
2017-03-31,22.03,$1.09,20.21
2016-12-31,23.02,$1.04,22.13
2016-09-30,23.0,$1.23,18.7
2016-06-30,22.52,$1.09,20.66
2016-03-31,18.28,$0.79,23.14
2015-12-31,17.64,$0.67,26.33
2015-09-30,16.61,$0.45,36.91
2015-06-30,14.76,$0.51,28.94
2015-03-31,16.77,$0.42,39.94
2014-12-31,16.0,$0.42,38.08
2014-09-30,13.09,$0.43,30.45
2014-06-30,14.5,$0.29,50.0
2014-03-31,14.79,$0.30,49.3
2013-12-31,13.29,$0.23,57.76
2013-09-30,12.33,$-0.04,0.0
2013-06-30,11.43,$-0.05,0.0
2013-03-31,12.84,$-0.26,0.0
2012-12-31,10.5,$-0.25,0.0
2012-09-30,9.8,$-0.21,0.0
2012-06-30,9.41,$-0.35,0.0
2012-03-31,9.21,$-0.25,0.0
2011-12-31,7.63,$-0.33,0.0
2011-09-30,5.97,$-0.71,0.0
2011-06-30,8.54,$-3.05,0.0
2011-03-31,8.87,$-3.28,0.0
2010-12-31,6.53,$-3.51,0.0
2010-09-30,3.78,$-2.89,0.0
2010-06-30,3.59,$-0.49,0.0
2010-03-31,5.79,$-0.37,0.0
2009-12-31,3.9,$-0.37,0.0
