H&R Block PE Ratio Historical Data,H&R Block PE Ratio Historical Data,H&R Block PE Ratio Historical Data,H&R Block PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,61.64,,14.61
2024-06-30,53.91,$4.22,12.78
2024-03-31,48.82,$4.37,11.17
2023-12-31,47.78,$3.63,13.16
2023-09-30,42.25,$3.51,12.04
2023-06-30,31.01,$3.57,8.69
2023-03-31,33.99,$2.97,11.44
2022-12-31,34.92,$2.90,12.04
2022-09-30,40.41,$3.25,12.43
2022-06-30,33.34,$3.46,9.63
2022-03-31,24.4,$2.10,11.62
2021-12-31,21.83,$-1.95,0.0
2021-09-30,22.9,$4.28,5.35
2021-06-30,21.28,$5.13,4.15
2021-04-30,19.95,$3.86,5.17
2021-03-31,19.54,$3.86,5.06
2021-01-31,15.25,$-2.45,0.0
2020-12-31,14.04,$-2.45,0.0
2020-10-31,15.06,$-1.18,0.0
2020-09-30,14.22,$-1.18,0.0
2020-07-31,12.43,0,0.0
2020-04-30,14.02,0,0.0
2020-01-31,19.22,0,0.0
2019-10-31,20.47,0,0.0
2019-07-31,22.44,0,0.0
2019-04-30,21.85,0,0.0
2019-01-31,18.75,0,0.0
2018-07-31,19.62,0,0.0
2018-04-30,21.34,0,0.0
2018-01-31,20.31,0,0.0
2017-10-31,18.76,0,0.0
2017-07-31,22.92,0,0.0
2017-04-30,18.48,0,0.0
2017-01-31,15.85,0,0.0
2018-10-31,20.9,0,0.0
2016-10-31,16.8,0,0.0
2016-07-31,17.23,0,0.0
2016-04-30,14.52,0,0.0
2016-01-31,24.26,0,0.0
2015-10-31,26.4,0,0.0
2015-07-31,23.45,0,0.0
2015-04-30,21.16,0,0.0
2015-01-31,23.84,0,0.0
2014-10-31,22.34,0,0.0
2014-07-31,22.08,0,0.0
2014-04-30,19.41,0,0.0
2014-01-31,20.63,0,0.0
2013-10-31,19.16,0,0.0
2013-07-31,21.02,0,0.0
2013-04-30,18.43,0,0.0
2013-01-31,15.02,0,0.0
2012-10-31,11.55,0,0.0
2012-07-31,10.4,0,0.0
2012-04-30,9.35,0,0.0
2012-01-31,10.28,0,0.0
2011-10-31,9.48,0,0.0
2011-07-31,9.18,0,0.0
2011-01-31,7.53,0,0.0
2010-10-31,7.01,0,0.0
2010-07-31,9.22,0,0.0
2010-04-30,10.66,0,0.0
2010-01-31,12.42,0,0.0
2009-10-31,10.5,0,0.0
2009-07-31,9.47,0,0.0
