Hamilton Lane PE Ratio Historical Data,Hamilton Lane PE Ratio Historical Data,Hamilton Lane PE Ratio Historical Data,Hamilton Lane PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,181.0,,49.05
2024-03-31,111.93,$3.69,30.33
2023-12-31,112.13,$3.25,34.5
2023-09-30,89.04,$4.21,21.15
2023-06-30,78.36,$3.41,22.98
2023-03-31,72.06,$3.57,20.19
2024-06-30,123.19,$3.66,33.66
2022-12-31,61.85,$2.58,23.97
2022-09-30,57.39,$3.67,15.64
2022-06-30,64.32,$4.11,15.65
2022-03-31,73.52,$3.98,18.47
2021-12-31,98.1,$4.59,21.37
2021-09-30,80.03,$4.15,19.28
2021-06-30,85.63,$3.40,25.18
2021-03-31,82.9,$2.73,30.37
2020-12-31,72.8,$2.43,29.96
2020-09-30,59.99,$1.93,31.08
2020-06-30,62.25,$1.83,34.02
2020-03-31,50.85,$2.14,23.76
2019-12-31,54.54,$1.75,31.17
2019-09-30,51.88,$1.50,34.58
2019-06-30,51.73,$1.43,36.18
2019-03-31,39.51,$1.40,28.22
2018-12-31,33.38,$1.77,18.86
2018-09-30,39.7,$1.21,32.81
2018-06-30,42.82,$0.98,43.69
2018-03-31,33.08,$0.89,37.17
2017-12-31,31.29,$0.24,130.39
