Charles River Associates PE Ratio Historical Data,Charles River Associates PE Ratio Historical Data,Charles River Associates PE Ratio Historical Data,Charles River Associates PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,196.32,,34.32
2024-06-30,171.78,$5.72,30.03
2024-03-31,148.83,$6.12,24.32
2023-12-31,98.06,$5.40,18.16
2023-09-30,99.52,$4.97,20.02
2023-06-30,100.41,$5.39,18.63
2023-03-31,105.74,$5.62,18.81
2022-12-31,119.66,$5.91,20.25
2022-09-30,86.48,$5.86,14.76
2022-06-30,86.75,$5.67,15.3
2022-03-31,81.54,$5.63,14.48
2021-12-31,90.02,$5.45,16.52
2021-09-30,95.48,$5.16,18.5
2021-06-30,82.04,$4.40,18.65
2021-03-31,71.32,$3.62,19.7
2020-12-31,48.49,$3.08,15.74
2020-09-30,35.47,$2.82,12.58
2020-06-30,37.2,$2.85,13.05
2020-03-31,31.28,$2.78,11.25
2019-12-31,50.75,$2.54,19.98
2019-09-30,38.93,$2.76,14.1
2019-06-30,35.38,$2.51,14.09
2019-03-31,46.41,$2.62,17.71
2018-12-31,38.92,$2.63,14.8
2018-09-30,45.74,$1.54,29.7
2018-06-30,46.22,$1.46,31.66
2018-03-31,47.34,$1.11,42.65
2017-12-31,40.56,$0.87,46.63
2017-09-30,36.91,$1.39,26.55
2017-06-30,32.53,$1.39,23.4
2017-03-31,31.51,$1.54,20.46
2016-12-31,32.52,$1.48,21.97
2016-09-30,23.52,$1.09,21.58
2016-06-30,22.31,$1.02,21.87
2016-03-31,17.37,$0.73,23.8
2015-12-31,16.5,$0.86,19.18
2015-09-30,19.09,$1.34,14.25
2015-03-31,27.53,$1.35,20.39
2014-12-31,26.82,$1.39,19.29
2014-09-30,22.49,$1.36,16.54
2014-06-30,20.39,$1.39,14.67
2014-03-31,19.43,$1.39,13.98
2013-12-31,17.51,$1.19,14.72
2015-06-30,24.65,$1.11,22.21
2013-09-30,16.47,$-4.58,0.0
2013-06-30,16.34,$-4.97,0.0
2013-03-31,19.79,$-5.04,0.0
2012-12-31,17.49,$-5.28,0.0
2012-09-30,15.29,$0.47,32.52
2012-06-30,12.99,$0.88,14.77
2012-03-31,22.31,$1.21,18.44
2011-12-31,17.55,$1.57,11.18
2011-09-30,17.7,$1.32,13.41
2011-06-30,23.96,$0.98,24.45
2011-03-31,25.5,$0.58,43.97
2010-12-31,20.8,$0.03,693.2
2010-11-30,19.55,$-0.14,0.0
2010-08-31,14.06,$-0.14,0.0
2010-06-30,16.66,$0.09,185.07
2010-05-31,19.65,$0.23,85.46
2010-02-28,23.53,$0.23,102.3
2009-12-31,23.57,$0.23,102.49
2009-11-30,22.0,0,0.0
