Medical Properties Trust PE Ratio Historical Data,Medical Properties Trust PE Ratio Historical Data,Medical Properties Trust PE Ratio Historical Data,Medical Properties Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.71,,0.0
2024-06-30,4.24,$-2.69,0.0
2024-03-31,4.34,$-2.22,0.0
2023-12-31,4.54,$-0.94,0.0
2023-09-30,4.88,$-0.07,0.0
2023-06-30,8.1,$0.11,73.65
2023-03-31,6.97,$0.50,13.94
2022-12-31,9.12,$1.50,6.08
2022-09-30,9.48,$2.08,4.56
2022-06-30,11.95,$2.00,5.98
2022-03-31,16.23,$1.87,8.68
2021-12-31,17.88,$1.10,16.26
2021-09-30,15.0,$0.96,15.63
2021-06-30,14.82,$0.92,16.11
2021-03-31,15.48,$0.94,16.47
2020-12-31,15.65,$0.81,19.32
2020-09-30,12.5,$0.87,14.37
2020-06-30,13.14,$0.82,16.02
2020-03-31,11.92,$0.81,14.71
2019-12-31,14.35,$0.86,16.69
2019-09-30,13.13,$0.81,16.21
2019-06-30,11.55,$2.61,4.43
2019-03-31,12.09,$2.71,4.46
2018-12-31,10.36,$2.76,3.75
2018-09-30,9.46,$2.74,3.45
2018-06-30,8.76,$0.95,9.23
2018-03-31,7.97,$0.86,9.27
2017-12-31,8.29,$0.82,10.11
2017-09-30,7.76,$0.76,10.21
2017-06-30,7.47,$0.83,9.0
2017-03-31,7.35,$0.84,8.74
2016-12-31,6.87,$0.87,7.9
2016-09-30,8.1,$0.98,8.27
2016-06-30,8.2,$0.80,10.26
2016-03-31,6.89,$0.69,9.99
2015-12-31,6.0,$0.62,9.68
2015-09-30,5.66,$0.46,12.3
2015-06-30,6.58,$0.52,12.65
2015-03-31,7.27,$0.41,17.73
2014-12-31,6.69,$0.28,23.9
2014-09-30,5.86,$0.31,18.91
2014-06-30,6.23,$0.31,20.1
2014-03-31,5.93,$0.49,12.09
2013-12-31,5.57,$0.63,8.84
2013-09-30,5.46,$0.73,7.48
2013-06-30,6.32,$0.80,7.9
2013-03-31,6.98,$0.76,9.19
2012-12-31,5.14,$0.67,7.67
2012-09-30,4.41,$0.57,7.74
2012-06-30,3.99,$0.34,11.72
2012-03-31,3.76,$0.22,17.09
2011-12-31,3.92,$0.22,17.81
2011-09-30,3.48,$0.21,16.56
2011-06-30,4.38,$0.29,15.11
2011-03-31,4.33,$0.33,13.13
2010-12-31,3.98,$0.20,19.92
2010-09-30,3.66,$0.19,19.26
2010-06-30,3.34,$0.24,13.92
2010-03-31,3.63,$0.27,13.46
2009-12-31,3.41,$0.45,7.57
