Quest Diagnostics PE Ratio Historical Data,Quest Diagnostics PE Ratio Historical Data,Quest Diagnostics PE Ratio Historical Data,Quest Diagnostics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,156.97,,21.18
2024-06-30,136.15,$7.41,18.37
2024-03-31,131.64,$7.43,17.72
2023-12-31,135.64,$7.49,18.11
2023-09-30,119.19,$6.66,17.9
2023-06-30,136.79,$6.87,19.91
2023-03-31,137.0,$6.78,20.21
2022-12-31,150.81,$7.92,19.04
2022-09-30,117.66,$10.17,11.57
2022-06-30,126.9,$12.02,10.56
2022-03-31,129.96,$15.02,8.65
2021-12-31,163.55,$15.56,10.51
2021-09-30,136.77,$16.65,8.21
2021-06-30,123.64,$16.77,7.37
2021-03-31,119.66,$13.17,9.09
2020-12-31,110.62,$10.44,10.6
2020-09-30,105.76,$8.09,13.07
2020-06-30,104.77,$5.51,19.01
2020-03-31,73.3,$5.81,12.62
2019-12-31,97.0,$6.28,15.45
2019-09-30,96.73,$5.34,18.11
2019-06-30,91.54,$5.31,17.24
2019-03-31,80.38,$5.22,15.4
2018-12-31,73.96,$5.29,13.98
2018-09-30,95.39,$6.19,15.41
2018-06-30,96.75,$5.81,16.65
2018-03-31,87.82,$5.61,15.65
2017-12-31,85.85,$5.50,15.61
2017-09-30,81.23,$4.77,17.03
2017-06-30,96.03,$4.96,19.36
2017-03-31,84.44,$4.96,17.02
2016-12-31,78.64,$4.50,17.48
2016-09-30,72.42,$4.70,15.41
2016-06-30,69.0,$5.71,12.08
2016-03-31,60.22,$5.15,11.69
2015-12-31,59.63,$4.87,12.24
2015-09-30,51.21,$4.87,10.52
2015-06-30,60.1,$3.40,17.68
2015-03-31,63.37,$3.51,18.05
2014-12-31,55.03,$3.80,14.48
2014-09-30,49.52,$3.48,14.23
2014-06-30,47.64,$5.28,9.02
2014-03-31,46.75,$5.43,8.61
2013-12-31,42.97,$5.57,7.71
2013-09-30,49.59,$4.94,10.04
2013-06-30,48.43,$3.27,14.81
2013-03-31,44.88,$3.31,13.56
2012-12-31,45.83,$3.45,13.29
2012-09-30,49.89,$4.30,11.6
2012-06-30,46.99,$4.36,10.78
2012-03-31,47.84,$4.27,11.2
2011-12-31,45.16,$4.14,10.91
2011-09-30,38.31,$3.91,9.8
2011-06-30,45.87,$3.97,11.55
2011-03-31,44.65,$4.02,11.11
2010-12-31,41.67,$4.05,10.29
2010-09-30,38.97,$4.06,9.6
2010-06-30,38.27,$3.95,9.69
2010-03-31,44.75,$3.89,11.5
2009-12-31,46.28,$3.88,11.93
