Methanex PE Ratio Historical Data,Methanex PE Ratio Historical Data,Methanex PE Ratio Historical Data,Methanex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,41.07,,19.1
2024-06-30,48.03,$2.15,22.34
2024-03-31,44.25,$2.36,18.75
2023-12-31,46.75,$2.46,19.01
2023-09-30,44.29,$2.55,17.37
2023-06-30,40.49,$3.06,13.23
2023-03-31,45.35,$3.74,12.12
2022-12-31,36.75,$4.47,8.22
2022-09-30,30.79,$6.39,4.82
2022-06-30,36.75,$6.45,5.7
2022-03-31,52.28,$6.35,8.23
2021-12-31,37.8,$5.94,6.36
2021-09-30,43.87,$3.08,14.24
2021-06-30,31.42,$1.00,31.42
2021-03-31,34.92,$-1.16,0.0
2020-12-31,43.69,$-2.14,0.0
2020-09-30,23.11,$-1.67,0.0
2020-06-30,17.1,$-0.73,0.0
2020-03-31,11.49,$0.63,18.24
2019-12-31,35.46,$0.92,38.54
2019-09-30,32.25,$2.48,13.01
2019-06-30,40.93,$4.30,9.52
2019-03-31,50.79,$5.15,9.86
2018-12-31,42.78,$6.65,6.43
2018-09-30,69.8,$5.78,12.08
2018-06-30,62.12,$4.55,13.65
2018-03-31,53.03,$4.08,13.0
2017-12-31,52.63,$3.54,14.87
2017-09-30,43.49,$3.01,14.45
2017-06-30,37.87,$2.51,15.09
2017-03-31,40.03,$1.59,25.17
2016-12-31,37.17,$-0.13,0.0
2016-09-30,30.09,$-0.30,0.0
2016-06-30,24.31,$0.36,67.54
2016-03-31,26.6,$1.54,17.27
2015-12-31,27.12,$1.89,14.35
2015-09-30,27.03,$2.89,9.35
2015-06-30,44.99,$2.89,15.57
2015-03-31,43.09,$3.02,14.27
2014-12-31,36.69,$4.43,8.28
2014-09-30,53.16,$4.64,11.46
2014-06-30,48.99,$5.00,9.8
2014-03-31,50.5,$4.28,11.8
2013-12-31,46.65,$3.41,13.68
2013-09-30,40.23,$0.60,67.05
2013-06-30,33.48,$-0.33,0.0
2013-03-31,31.61,$-0.39,0.0
2012-12-31,24.67,$-0.79,0.0
2012-09-30,21.97,$1.38,15.92
2012-06-30,21.3,$2.00,10.65
2012-03-31,24.65,$1.93,12.77
2011-12-31,17.25,$2.07,8.34
2011-09-30,15.63,$1.69,9.25
2011-06-30,23.37,$1.45,16.12
2011-03-31,23.13,$1.15,20.11
2010-12-31,22.39,$1.09,20.54
2010-09-30,17.95,$1.07,16.77
2010-06-30,14.34,$0.71,20.19
2010-03-31,17.57,$0.52,33.8
2009-12-31,14.01,$0.01,1400.58
