Synaptics PE Ratio Historical Data,Synaptics PE Ratio Historical Data,Synaptics PE Ratio Historical Data,Synaptics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,72.7,,23.45
2024-06-30,88.2,$3.10,28.45
2024-03-31,97.56,$-2.71,0.0
2023-12-31,114.08,$-1.99,0.0
2023-09-30,89.44,$-1.21,0.0
2023-06-30,85.38,$1.81,47.17
2023-03-31,111.15,$4.44,25.03
2022-12-31,95.16,$5.77,16.49
2022-09-30,99.01,$6.93,14.29
2022-06-30,118.05,$6.33,18.65
2022-03-31,199.5,$4.77,41.82
2021-12-31,289.51,$3.53,82.01
2021-09-30,179.73,$3.18,56.52
2021-06-30,155.58,$2.11,73.73
2021-03-31,135.42,$4.18,32.4
2020-12-31,96.4,$3.97,24.28
2020-09-30,80.42,$3.19,25.21
2020-06-30,60.12,$3.39,17.73
2020-03-31,57.87,$-0.51,0.0
2019-12-31,65.77,$-0.46,0.0
2019-09-30,39.95,$-0.68,0.0
2019-06-30,29.14,$-0.69,0.0
2019-03-31,39.75,$0.62,64.11
2018-12-31,37.21,$0.03,1240.33
2018-09-30,45.62,$-2.75,0.0
2018-06-30,50.37,$-3.65,0.0
2018-03-31,45.73,$-3.10,0.0
2017-12-31,39.94,$-2.57,0.0
2017-09-30,39.18,$0.49,79.96
2017-06-30,51.71,$1.38,37.47
2017-03-31,49.51,$0.68,72.81
2016-12-31,53.58,$1.09,49.16
2016-09-30,58.58,$1.38,42.45
2016-06-30,53.75,$1.90,28.29
2016-03-31,79.74,$2.94,27.12
2015-12-31,80.34,$3.22,24.95
2015-09-30,82.53,$2.81,29.37
2015-06-30,86.74,$2.87,30.22
2015-03-31,81.31,$2.91,27.94
2014-12-31,68.84,$0.97,70.97
2014-09-30,73.2,$0.93,78.71
2014-06-30,90.64,$1.25,72.51
2014-03-31,60.02,$1.65,36.38
2013-12-31,51.81,$3.84,13.49
2013-09-30,44.25,$3.69,11.99
2013-06-30,38.56,$2.87,13.44
2013-03-31,40.69,$1.94,20.97
2012-12-31,29.97,$1.20,24.98
2012-09-30,24.02,$1.38,17.41
2012-06-30,28.63,$1.59,18.01
2012-03-31,36.51,$1.63,22.4
2011-12-31,30.15,$1.68,17.95
2011-09-30,23.9,$1.67,14.31
2011-06-30,25.74,$1.80,14.3
2011-03-31,27.02,$1.94,13.93
2010-12-31,29.38,$1.89,15.54
2010-09-30,28.14,$1.74,16.17
2010-06-30,27.5,$1.49,18.46
2010-03-31,27.61,$1.31,21.08
2009-12-31,30.65,$1.15,26.65
