Unum Group PE Ratio Historical Data,Unum Group PE Ratio Historical Data,Unum Group PE Ratio Historical Data,Unum Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,64.21,,9.44
2024-06-30,50.71,$6.80,7.46
2024-03-31,52.86,$6.73,7.86
2023-12-31,44.21,$6.49,6.81
2023-09-30,47.73,$6.19,7.71
2023-06-30,45.94,$7.21,6.37
2023-03-31,37.8,$7.06,5.35
2022-12-31,38.89,$6.51,5.97
2022-09-30,36.51,$5.90,6.19
2022-06-30,31.68,$5.46,5.8
2022-03-31,29.07,$4.52,6.43
2021-12-31,22.4,$4.02,5.57
2021-09-30,22.6,$3.90,5.79
2021-06-30,25.33,$3.43,7.39
2021-03-31,24.58,$3.84,6.4
2020-12-31,20.03,$3.88,5.16
2020-09-30,14.45,$4.66,3.1
2020-06-30,14.01,$4.69,2.99
2020-03-31,12.45,$4.72,2.64
2019-12-31,23.93,$5.24,4.57
2019-09-30,24.15,$4.95,4.88
2019-06-30,27.03,$2.49,10.86
2019-03-31,27.06,$2.45,11.05
2018-12-31,23.33,$2.37,9.84
2018-09-30,31.02,$2.41,12.87
2018-06-30,29.17,$4.83,6.04
2018-03-31,37.37,$4.61,8.11
2017-12-31,42.91,$4.38,9.8
2017-09-30,39.8,$4.26,9.34
2017-06-30,36.12,$4.15,8.7
2017-03-31,36.17,$4.08,8.87
2016-12-31,33.74,$3.96,8.52
2016-09-30,26.97,$3.82,7.06
2016-06-30,24.13,$3.64,6.63
2016-03-31,23.35,$3.54,6.59
2015-12-31,24.97,$3.50,7.13
2015-09-30,23.93,$1.46,16.39
2015-06-30,26.54,$1.50,17.69
2015-03-31,24.92,$1.54,16.18
2014-12-31,25.63,$1.58,16.22
2014-09-30,25.14,$3.53,7.12
2014-06-30,25.3,$3.44,7.36
2014-03-31,25.59,$3.32,7.71
2013-12-31,25.31,$3.23,7.84
2013-09-30,21.86,$3.24,6.75
2013-06-30,21.0,$3.29,6.38
2013-03-31,20.1,$3.23,6.22
2012-12-31,14.73,$3.17,4.65
2012-09-30,13.51,$0.87,15.53
2012-06-30,13.36,$0.73,18.3
2012-03-31,17.02,$0.72,23.63
2011-12-31,14.58,$0.71,20.53
2011-09-30,14.44,$2.87,5.03
2011-06-30,17.48,$2.86,6.11
2011-03-31,17.94,$2.74,6.55
2010-12-31,16.5,$2.71,6.09
2010-09-30,15.03,$2.60,5.78
2010-06-30,14.66,$2.58,5.68
2010-03-31,16.68,$2.75,6.07
2009-12-31,13.09,$2.56,5.11
