Pinnacle Financial Partners PE Ratio Historical Data,Pinnacle Financial Partners PE Ratio Historical Data,Pinnacle Financial Partners PE Ratio Historical Data,Pinnacle Financial Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,106.4,,31.29
2024-09-30,97.97,$3.40,28.81
2024-06-30,79.84,$5.09,15.69
2024-03-31,85.43,$6.99,12.22
2023-12-31,86.54,$7.18,12.05
2023-09-30,66.29,$7.90,8.39
2023-06-30,55.85,$8.07,6.92
2022-12-31,71.83,$7.18,10.0
2022-09-30,79.15,$7.13,11.1
2022-06-30,70.38,$6.98,10.08
2022-03-31,89.37,$6.87,13.01
2021-12-31,92.48,$6.91,13.38
2023-03-31,54.13,$6.81,7.95
2021-09-30,90.94,$6.47,14.06
2021-06-30,85.18,$6.14,13.87
2021-03-31,85.36,$5.28,16.17
2020-12-31,61.85,$4.04,15.31
2020-09-30,34.06,$3.88,8.78
2020-06-30,40.03,$3.90,10.26
2020-03-31,35.64,$4.38,8.14
2019-12-31,60.61,$5.23,11.59
2019-09-30,53.6,$5.20,10.31
2019-06-30,54.14,$4.97,10.89
2019-03-31,51.38,$4.78,10.75
2018-12-31,43.17,$4.64,9.3
2018-09-30,56.16,$3.76,14.94
2018-06-30,57.15,$3.38,16.91
2018-03-31,59.68,$3.06,19.5
2017-12-31,61.49,$2.80,21.96
2017-09-30,61.97,$3.23,19.18
2017-06-30,58.0,$3.11,18.65
2017-03-31,61.23,$3.04,20.14
2016-12-31,63.73,$2.90,21.97
2016-09-30,49.59,$2.77,17.9
2016-06-30,44.67,$2.68,16.67
2016-03-31,44.73,$2.59,17.27
2015-12-31,46.69,$2.53,18.46
2015-09-30,44.82,$2.41,18.6
2015-06-30,49.21,$2.31,21.3
2015-03-31,40.14,$2.14,18.76
2014-12-31,35.58,$1.96,18.16
2014-09-30,32.42,$1.85,17.53
2014-03-31,33.52,$1.75,19.15
2013-12-31,29.01,$1.67,17.37
2013-09-30,26.52,$1.57,16.89
2013-06-30,22.87,$1.64,13.95
2013-03-31,20.78,$1.55,13.41
2012-12-31,16.76,$1.39,12.06
2014-06-30,35.38,$1.26,28.08
2012-09-30,17.19,$0.94,18.28
2012-06-30,17.36,$1.33,13.05
2012-03-31,16.32,$1.24,13.16
2011-12-31,14.37,$1.09,13.18
2011-09-30,9.73,$0.99,9.83
2011-06-30,13.84,$0.29,47.73
2011-03-31,14.71,$-0.70,0.0
2010-12-31,12.08,$-0.92,0.0
2010-09-30,8.18,$-1.11,0.0
2010-06-30,11.43,$-1.28,0.0
2010-03-31,13.44,$-1.76,0.0
2009-12-31,12.65,$-1.57,0.0
