MPLX LP PE Ratio Historical Data,MPLX LP PE Ratio Historical Data,MPLX LP PE Ratio Historical Data,MPLX LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,44.32,,10.76
2024-06-30,41.72,$4.12,10.13
2024-03-31,39.89,$3.88,10.28
2023-12-31,34.46,$3.81,9.04
2023-09-30,32.6,$3.49,9.34
2023-06-30,30.43,$3.96,7.68
2023-03-31,30.2,$3.88,7.78
2022-12-31,28.14,$3.75,7.51
2022-09-30,25.14,$3.75,6.7
2022-06-30,23.87,$3.13,7.63
2022-03-31,26.59,$2.96,8.98
2021-12-31,23.22,$2.86,8.12
2021-09-30,21.45,$2.71,7.91
2021-06-30,21.77,$2.58,8.44
2021-03-31,18.39,$2.50,7.36
2020-12-31,15.1,$-0.78,0.0
2020-09-30,10.57,$-1.99,0.0
2020-06-30,11.19,$-1.99,0.0
2020-03-31,7.23,$-2.02,0.0
2019-12-31,15.38,$1.19,12.92
2019-09-30,16.49,$2.29,7.2
2019-06-30,18.52,$2.30,8.05
2019-03-31,18.92,$2.30,8.23
2018-12-31,17.12,$2.30,7.44
2018-09-30,19.22,$2.09,9.2
2018-06-30,18.6,$1.76,10.57
2018-03-31,17.69,$1.47,12.04
2017-12-31,18.68,$1.05,17.79
2017-09-30,18.13,$0.91,19.92
2017-06-30,17.02,$0.83,20.51
2017-03-31,18.1,$0.46,39.34
2016-12-31,17.13,$-0.06,0.0
2016-09-30,16.49,$-0.37,0.0
2016-06-30,16.13,$-0.17,0.0
2016-03-31,14.02,$0.44,31.86
2015-12-31,18.26,$1.23,14.84
2015-09-30,17.52,$1.75,10.01
2015-06-30,32.48,$1.71,18.99
2015-03-31,33.16,$1.58,20.99
2014-12-31,33.1,$1.53,21.64
2014-09-30,26.41,$1.42,18.6
2014-06-30,28.73,$1.34,21.44
2014-03-31,21.69,$1.23,17.63
2013-12-31,19.59,$1.08,18.14
2013-09-30,15.9,$0.99,16.06
