Global Net Lease PE Ratio Historical Data,Global Net Lease PE Ratio Historical Data,Global Net Lease PE Ratio Historical Data,Global Net Lease PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.39,,0.0
2024-06-30,6.87,$-1.72,0.0
2024-03-31,6.98,$-1.82,0.0
2023-12-31,8.61,$-1.73,0.0
2023-09-30,7.97,$-1.64,0.0
2023-06-30,8.23,$-0.44,0.0
2023-03-31,9.95,$-0.20,0.0
2022-12-31,9.45,$-0.09,0.0
2022-09-30,7.7,0,0.0
2022-06-30,9.96,$-0.07,0.0
2022-03-31,10.78,$-0.15,0.0
2021-12-31,10.19,$-0.21,0.0
2021-09-30,10.42,$-0.28,0.0
2021-06-30,11.78,$-0.31,0.0
2021-03-31,11.26,$-0.16,0.0
2020-12-31,10.44,$-0.10,0.0
2020-09-30,9.45,$0.15,63.02
2020-06-30,9.71,$0.24,40.44
2020-03-31,7.54,$0.38,19.84
2019-12-31,11.13,$0.40,27.84
2019-09-30,10.41,$0.21,49.58
2019-06-30,10.2,$0.13,78.45
2019-03-31,9.73,$0.06,162.21
2018-12-31,8.82,$0.02,441.2
2018-09-30,10.17,$0.20,50.85
2018-06-30,9.72,$0.23,42.25
2018-03-31,7.8,$0.23,33.93
2017-12-31,9.24,$0.31,29.81
2017-09-30,9.59,$0.49,19.57
2017-06-30,9.51,$0.61,15.59
2017-03-31,10.06,$0.80,12.57
2016-12-31,9.6,$0.81,11.85
2016-09-30,9.76,$0.75,13.02
2016-06-30,9.31,$0.69,13.49
2016-03-31,9.82,$-0.33,0.0
