CareDx PE Ratio Historical Data,CareDx PE Ratio Historical Data,CareDx PE Ratio Historical Data,CareDx PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.48,,0.0
2024-06-30,15.53,$-2.99,0.0
2024-03-31,10.59,$-3.42,0.0
2023-12-31,12.0,$-3.54,0.0
2023-09-30,7.0,$-1.67,0.0
2023-06-30,8.5,$-1.56,0.0
2023-03-31,9.14,$-1.51,0.0
2022-12-31,11.41,$-1.44,0.0
2022-09-30,17.02,$-1.41,0.0
2022-06-30,21.48,$-1.32,0.0
2022-03-31,36.99,$-0.95,0.0
2021-12-31,45.48,$-0.59,0.0
2021-09-30,63.37,$-0.35,0.0
2021-06-30,91.52,$-0.18,0.0
2021-03-31,68.09,$-0.29,0.0
2020-12-31,72.45,$-0.42,0.0
2020-09-30,37.94,$-0.46,0.0
2020-06-30,35.43,$-0.44,0.0
2020-03-31,21.83,$-0.48,0.0
2019-12-31,21.57,$-0.52,0.0
2019-09-30,22.61,$-0.50,0.0
2019-06-30,35.99,$-1.00,0.0
2019-03-31,31.52,$-1.21,0.0
2018-12-31,25.14,$-1.33,0.0
2018-09-30,28.85,$-2.37,0.0
2018-06-30,12.24,$-2.46,0.0
2018-03-31,7.97,$-2.25,0.0
2017-12-31,7.34,$-2.21,0.0
2017-09-30,3.7,$-1.81,0.0
2017-06-30,1.11,$-1.44,0.0
2017-03-31,1.4,$-2.01,0.0
2016-12-31,2.7,$-2.56,0.0
2016-09-30,3.55,$-2.23,0.0
2016-06-30,4.31,$-2.26,0.0
2016-03-31,4.96,$-1.77,0.0
2015-12-31,6.4,$-1.15,0.0
2015-09-30,4.17,$-0.75,0.0
2015-06-30,6.5,$-0.34,0.0
