United States Cellular PE Ratio Historical Data,United States Cellular PE Ratio Historical Data,United States Cellular PE Ratio Historical Data,United States Cellular PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,58.71,,71.6
2024-06-30,55.82,$0.82,68.07
2024-03-31,36.5,$0.67,54.48
2023-12-31,41.54,$0.62,67.0
2023-09-30,42.97,$0.13,330.54
2023-06-30,17.63,$-0.28,0.0
2023-03-31,20.73,$-0.08,0.0
2022-12-31,20.85,$0.34,61.32
2022-09-30,26.03,$0.98,26.56
2022-06-30,28.96,$1.51,19.18
2022-03-31,30.23,$1.65,18.32
2021-12-31,31.52,$1.77,17.81
2021-09-30,31.89,$1.52,20.98
2021-06-30,36.31,$2.11,17.21
2021-03-31,36.48,$2.50,14.59
2020-12-31,30.69,$2.62,11.71
2020-09-30,29.53,$2.76,10.7
2020-06-30,30.87,$2.06,14.99
2020-03-31,29.29,$1.63,17.97
2019-12-31,36.23,$1.44,25.16
2019-09-30,37.58,$1.47,25.56
2019-06-30,44.67,$1.61,27.75
2019-03-31,45.91,$1.82,25.23
2018-12-31,51.97,$1.72,30.22
2018-09-30,44.78,$4.67,9.59
2018-06-30,37.04,$0.75,49.39
2018-03-31,40.19,$0.33,121.79
2017-12-31,37.63,$0.12,313.58
2017-09-30,35.4,$-3.13,0.0
2017-06-30,38.32,$0.58,66.07
2017-03-31,37.33,$0.76,49.12
2016-12-31,43.72,$0.55,79.49
2016-09-30,36.34,$0.60,60.57
2016-06-30,39.27,$1.15,34.15
2016-03-31,45.69,$1.06,43.1
2015-12-31,40.81,$2.85,14.32
2015-09-30,35.43,$2.62,13.52
2015-06-30,37.67,$1.61,23.4
2015-03-31,35.72,$1.16,30.79
2014-12-31,39.83,$-0.50,0.0
2014-09-30,35.48,$-0.23,0.0
2014-06-30,40.8,$-0.09,0.0
2014-03-31,41.01,$1.82,22.53
2013-12-31,41.82,$1.65,25.35
2013-09-30,45.53,$1.16,39.25
2013-06-30,36.69,$1.70,21.58
2013-03-31,30.72,$0.63,48.77
2012-12-31,30.07,$1.30,23.13
2012-09-30,33.39,$1.80,18.55
2012-06-30,32.96,$2.11,15.62
2012-03-31,34.93,$2.36,14.8
2011-12-31,37.24,$2.03,18.34
2011-09-30,33.84,$2.08,16.27
2011-06-30,41.32,$1.78,23.22
2011-03-31,43.94,$1.38,31.84
2010-12-31,42.62,$1.54,27.68
2010-09-30,39.23,$1.60,24.52
2010-06-30,35.12,$1.58,22.23
2010-03-31,35.31,$2.07,17.06
2009-12-31,36.19,$2.48,14.59
