Chemours PE Ratio Historical Data,Chemours PE Ratio Historical Data,Chemours PE Ratio Historical Data,Chemours PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.76,,24.4
2024-06-30,22.27,$0.81,27.5
2024-03-31,25.69,$-2.17,0.0
2023-12-31,30.6,$-1.55,0.0
2023-09-30,26.96,$-2.07,0.0
2023-06-30,35.2,$-0.68,0.0
2023-03-31,28.32,$3.10,9.14
2022-12-31,28.75,$3.57,8.05
2022-09-30,22.97,$5.61,4.1
2022-06-30,29.64,$5.36,5.53
2022-03-31,28.96,$4.49,6.45
2021-12-31,30.59,$3.63,8.43
2021-09-30,26.29,$2.34,11.23
2021-06-30,31.25,$1.53,20.43
2021-03-31,24.88,$1.29,19.29
2020-12-31,21.87,$-1.22,0.0
2020-09-30,18.24,$-0.87,0.0
2020-06-30,13.23,$-0.76,0.0
2019-12-31,15.02,$-0.36,0.0
2019-09-30,12.24,$2.39,5.12
2019-06-30,19.26,$2.54,7.58
2019-03-31,29.51,$3.48,8.48
2018-12-31,22.27,$4.46,4.99
2020-03-31,7.48,$5.23,1.43
2018-09-30,30.87,$5.81,5.31
2018-06-30,34.53,$5.38,6.42
2018-03-31,37.79,$4.64,8.14
2017-12-31,38.7,$1.80,21.5
2017-09-30,39.1,$1.72,22.73
2017-03-31,29.71,$0.54,55.02
2016-12-31,17.03,$0.03,567.69
2016-09-30,12.32,$0.81,15.21
2016-06-30,6.33,$-0.46,0.0
2016-03-31,5.36,$0.48,11.17
