Stock Yards Bancorp PE Ratio Historical Data,Stock Yards Bancorp PE Ratio Historical Data,Stock Yards Bancorp PE Ratio Historical Data,Stock Yards Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,66.09,,18.56
2024-06-30,49.42,$3.56,13.88
2024-03-31,48.36,$3.56,13.58
2023-12-31,50.56,$3.67,13.78
2023-09-30,38.36,$3.86,9.94
2023-06-30,43.98,$3.91,11.25
2023-03-31,53.14,$3.88,13.69
2022-12-31,62.27,$3.18,19.58
2022-09-30,64.89,$3.09,21.0
2022-06-30,56.83,$2.98,19.07
2022-03-31,50.01,$2.24,22.33
2021-12-31,60.09,$2.94,20.44
2021-09-30,54.91,$2.80,19.61
2021-06-30,47.39,$2.58,18.37
2021-03-31,47.3,$3.00,15.77
2020-12-31,37.32,$2.60,14.35
2020-09-30,31.17,$2.55,12.22
2020-06-30,36.55,$2.67,13.69
2020-03-31,26.1,$2.80,9.32
2019-12-31,36.67,$2.89,12.69
2019-09-30,32.56,$2.80,11.63
2019-06-30,31.86,$2.64,12.07
2019-03-31,29.58,$2.51,11.78
2018-12-31,28.5,$2.41,11.82
2018-09-30,31.27,$1.99,15.72
2018-06-30,32.65,$1.90,17.18
2018-03-31,29.87,$1.77,16.87
2017-12-31,31.87,$1.66,19.2
2017-09-30,31.95,$1.90,16.82
2017-06-30,32.51,$1.85,17.57
2017-03-31,33.79,$1.84,18.36
2016-12-31,38.85,$1.80,21.55
2016-09-30,27.16,$1.77,15.35
2016-06-30,23.13,$1.72,13.42
2016-03-31,20.92,$1.67,12.5
2015-12-31,20.38,$1.65,12.33
2015-09-30,19.48,$1.62,12.02
2015-06-30,20.11,$1.65,12.16
2015-03-31,18.2,$1.62,11.24
2014-12-31,17.51,$1.58,11.08
2014-09-30,15.7,$1.47,10.65
2014-06-30,15.48,$1.38,11.22
2014-03-31,16.26,$1.31,12.38
2013-12-31,16.29,$1.27,12.86
2013-09-30,14.36,$1.29,11.11
2013-06-30,12.34,$1.26,9.8
2013-03-31,11.23,$1.25,8.96
2012-12-31,11.09,$1.24,8.94
2012-09-30,11.6,$1.23,9.4
2012-06-30,11.65,$1.19,9.76
2012-03-31,11.19,$1.19,9.43
2011-12-31,9.82,$1.14,8.61
2011-09-30,8.82,$1.13,7.83
2011-06-30,10.92,$1.15,9.47
2011-03-31,11.73,$1.13,10.35
2010-12-31,11.36,$1.11,10.26
2010-09-30,11.4,$1.09,10.49
2010-06-30,10.48,$0.99,10.55
2010-03-31,10.3,$0.93,11.04
2009-12-31,9.6,$0.93,10.36
