Employers Holdings Inc PE Ratio Historical Data,Employers Holdings Inc PE Ratio Historical Data,Employers Holdings Inc PE Ratio Historical Data,Employers Holdings Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,49.98,,10.7
2024-06-30,42.35,$4.67,9.07
2024-03-31,44.78,$4.72,9.49
2023-12-31,38.64,$4.47,8.64
2023-09-30,38.89,$4.42,8.8
2023-06-30,36.16,$4.58,7.9
2023-03-31,40.0,$2.72,14.71
2022-12-31,41.14,$1.78,23.11
2022-09-30,31.8,$2.00,15.9
2022-06-30,38.37,$1.83,20.97
2022-03-31,36.45,$3.31,11.01
2021-12-31,36.53,$4.19,8.72
2021-09-30,34.65,$4.44,7.8
2021-06-30,37.33,$4.96,7.53
2021-03-31,37.33,$6.01,6.21
2020-12-31,27.7,$4.07,6.81
2020-09-30,25.83,$2.87,9.0
2020-06-30,25.55,$2.83,9.03
2020-03-31,34.04,$2.11,16.13
2019-12-31,34.86,$4.82,7.23
2019-09-30,36.2,$4.60,7.87
2019-06-30,34.93,$5.02,6.96
2019-03-31,32.97,$5.05,6.53
2018-12-31,34.5,$4.25,8.12
2018-09-30,37.08,$4.42,8.39
2018-06-30,32.76,$3.65,8.97
2018-03-31,32.8,$3.12,10.51
2017-12-31,35.82,$3.05,11.74
2017-09-30,36.55,$3.19,11.46
2017-06-30,33.9,$3.22,10.53
2017-03-31,30.3,$3.27,9.27
2016-12-31,31.49,$3.22,9.78
2016-09-30,23.65,$2.96,7.99
2016-06-30,22.94,$3.02,7.59
2016-03-31,22.17,$3.12,7.11
2015-12-31,21.44,$2.90,7.39
2015-09-30,17.47,$2.99,5.84
2015-06-30,17.81,$2.71,6.57
2015-03-31,21.05,$3.23,6.52
2014-12-31,18.29,$3.14,5.82
2014-09-30,14.93,$2.67,5.59
2014-06-30,16.39,$3.06,5.35
2014-03-31,15.61,$2.10,7.43
2013-12-31,24.34,$2.00,12.17
2013-09-30,22.83,$4.38,5.21
2013-06-30,18.73,$3.78,4.95
2013-03-31,17.92,$3.48,5.15
2012-12-31,15.68,$3.43,4.57
2012-09-30,13.93,$1.19,11.7
2012-06-30,13.66,$1.24,11.02
2012-03-31,13.36,$1.29,10.36
2011-12-31,13.6,$1.31,10.38
2011-09-30,9.56,$1.24,7.71
2011-06-30,12.5,$1.18,10.59
2011-03-31,15.35,$1.36,11.28
2010-12-31,12.94,$1.53,8.46
2010-09-30,11.63,$1.28,9.09
2010-06-30,10.82,$1.70,6.37
2010-03-31,10.87,$1.75,6.21
2009-12-31,11.18,$1.80,6.21
